year,sex,location,source,count
2005,Men,In Hospital,Busan,739
2005,Men,In Hospital,DaeguGyeongbuk,2022
2005,Men,In Hospital,Incheon,2087
2005,Men,In Hospital,Ulsan,318
2005,Men,In Hospital,Gyeonggi,3195
2005,Men,In Hospital,Gangwon,898
2005,Men,In Hospital,Chungbuk,374
2005,Men,In Hospital,DaejeonChungnam,1698
2005,Men,In Hospital,Jeonbuk,555
2005,Men,In Hospital,Jeonnam,151
2005,Men,In Hospital,Gyeongnam,5774
2005,Men,In Hospital,Jeju,431
2005,Men,In Hospital,Outside of Korean Red Cross,42088
2005,Men,Blood donation house,Korean Red Cross,577214
2005,Men,Blood donation house,Central Seoul,54658
2005,Men,Blood donation house,Western Seoul,50677
2005,Men,Blood donation house,Southern Seoul,56056
2005,Men,Blood donation house,Eastern Seoul,44808
2005,Men,Blood donation house,Busan,72952
2005,Men,Blood donation house,DaeguGyeongbuk,45027
2005,Men,Blood donation house,Incheon,30921
2005,Men,Blood donation house,Ulsan,22798
2005,Men,Blood donation house,Gyeonggi,37041
2005,Men,Blood donation house,Gangwon,11263
2005,Men,Blood donation house,Chungbuk,24458
2005,Men,Blood donation house,DaejeonChungnam,21988
2005,Men,Blood donation house,Jeonbuk,36746
2005,Men,Blood donation house,Jeonnam,51240
2005,Men,Blood donation house,Gyeongnam,10852
2005,Men,Blood donation house,Jeju,5729
2005,Men,Blood donation house,Outside of Korean Red Cross,0
2005,Men,Blood donation bus,Korean Red Cross,108477
2005,Men,Blood donation bus,Central Seoul,11263
2005,Men,Blood donation bus,Western Seoul,11947
2005,Men,Blood donation bus,Southern Seoul,14137
2005,Men,Blood donation bus,Eastern Seoul,10587
2005,Men,Blood donation bus,Busan,9616
2005,Men,Blood donation bus,DaeguGyeongbuk,7485
2005,Men,Blood donation bus,Incheon,7785
2005,Men,Blood donation bus,Ulsan,4334
2005,Men,Blood donation bus,Gyeonggi,11441
2005,Men,Blood donation bus,Gangwon,119
2005,Men,Blood donation bus,Chungbuk,194
2005,Men,Blood donation bus,DaejeonChungnam,8915
2005,Men,Blood donation bus,Jeonbuk,889
2005,Men,Blood donation bus,Jeonnam,621
2005,Men,Blood donation bus,Gyeongnam,7775
2005,Men,Blood donation bus,Jeju,1369
2005,Men,Blood donation bus,Outside of Korean Red Cross,0
2005,Women,Group Donation,Korean Red Cross,133245
2005,Women,Group Donation,Central Seoul,12842
2005,Women,Group Donation,Western Seoul,5872
2005,Women,Group Donation,Southern Seoul,7198
2005,Women,Group Donation,Eastern Seoul,11249
2005,Women,Group Donation,Busan,7275
2005,Women,Group Donation,DaeguGyeongbuk,16025
2005,Women,Group Donation,Incheon,12910
2005,Women,Group Donation,Ulsan,3827
2005,Women,Group Donation,Gyeonggi,4764
2005,Women,Group Donation,Gangwon,1966
2005,Women,Group Donation,Chungbuk,6718
2005,Women,Group Donation,DaejeonChungnam,7177
2005,Women,Group Donation,Jeonbuk,9716
2005,Women,Group Donation,Jeonnam,18382
2005,Women,Group Donation,Gyeongnam,4677
2005,Women,Group Donation,Jeju,2647
2005,Women,Group Donation,Outside of Korean Red Cross,0
2005,Women,Highschool,Korean Red Cross,78073
2005,Women,Highschool,Central Seoul,6052
2005,Women,Highschool,Western Seoul,3914
2005,Women,Highschool,Southern Seoul,2867
2005,Women,Highschool,Eastern Seoul,6357
2005,Women,Highschool,Busan,4398
2005,Women,Highschool,DaeguGyeongbuk,9192
2005,Women,Highschool,Incheon,10299
2005,Women,Highschool,Ulsan,2666
2005,Women,Highschool,Gyeonggi,1839
2005,Women,Highschool,Gangwon,1030
2005,Women,Highschool,Chungbuk,3807
2005,Women,Highschool,DaejeonChungnam,3700
2005,Women,Highschool,Jeonbuk,6624
