month,year,red_blood_cells,platelet,fresh_frozen_plasma,leukocyte_filtered_apheresis_platelets
April,2021,13644,6572,85950,913
May,2021,16333,7477,89866,973
June,2021,16517,6151,85073,910
July,2021,13917,6381,83742,914
August,2021,13276,6770,88483,984
September,2021,14522,6631,91495,917
October,2021,14197,6167,89813,899
November,2021,16433,7422,97566,962
December,2021,24474,7356,102600,878
January,2022,19641,5487,91955,913
February,2022,14314,6383,89549,988
March,2022,14939,5957,89239,891
April,2022,16284,7168,87545,880
May,2022,31965,7777,100985,1020
June,2022,40635,6662,98370,878
July,2022,33558,5947,86174,884
August,2022,22839,5476,81810,929
September,2022,26582,7082,83112,1001
October,2022,21567,6633,79986,1010
November,2022,22551,6815,82494,994
December,2022,23859,7005,86222,953
January,2023,18712,5661,85952,1033
February,2023,17655,7286,88863,1264
March,2023,16568,6949,91080,1176
April,2023,16513,7091,86156,1153
May,2023,18031,7511,86931,1159
June,2023,24438,7094,89234,1127
July,2023,28711,6916,83985,1169
August,2023,31568,7043,88072,1152
September,2023,32982,6934,86636,1144
October,2023,23631,6538,82297,1219
November,2023,20982,7177,86463,1237
December,2023,23840,7519,93304,1256
