year,source,sex,total,whole_blood_donation,whole_blood_donation_320ml,whole_blood_donation_400ml,apheresis_donation,apheresis_donation_plasma,apheresis_donation_platelets,apheresis_donation_multiapheresis,apheresis_donation_other
2016,Western Seoul,Men,210930,139786,17108,122678,71144,32515,3130,35499,
2016,Western Seoul,Women,80306,61896,55004,6892,18410,15475,2497,438,
2016,Southern Seoul,Men,169319,117262,12956,104306,52057,21773,2815,27469,
2016,Southern Seoul,Women,57825,43890,39799,4091,13935,11716,2025,194,
2016,Eastern Seoul,Men,195744,134860,18541,116319,60884,26250,2113,32521,
2016,Eastern Seoul,Women,77583,63965,58122,5843,13618,11345,1909,364,
2016,Busan,Men,143066,107253,14157,93096,35813,20853,279,14681,
2016,Busan,Women,61778,48381,44997,3384,13397,13217,139,41,
2016,DaeguGyeongbuk,Men,168424,123382,23534,99848,45042,31410,305,13327,
2016,DaeguGyeongbuk,Women,68471,55152,52949,2203,13319,12689,520,110,
2016,Incheon,Men,113269,80170,14603,65567,33099,20801,461,11837,
2016,Incheon,Women,48475,39970,38111,1859,8505,8220,227,58,
2016,Ulsan,Men,65717,49388,11596,37792,16329,9532,244,6553,
2016,Ulsan,Women,21606,18000,17559,441,3606,3451,124,31,
2016,Gyeonggi,Men,154592,117218,22892,94326,37374,21363,757,15254,
2016,Gyeonggi,Women,50675,44186,41996,2190,6489,6192,223,74,
2016,Gangwon,Men,122194,92945,8393,84552,29249,20295,164,8790,
2016,Gangwon,Women,27657,21708,20825,883,5949,5768,102,79,
2016,Chungbuk,Men,66760,52215,8189,44026,14545,11787,147,2611,
2016,Chungbuk,Women,22582,19498,13181,6317,3084,3047,34,3,
2016,DaejeonChungnam,Men,171357,130869,19222,111647,40488,30264,137,10087,
2016,DaejeonChungnam,Women,65134,52352,49596,2756,12782,12688,71,23,
2016,Jeonbuk,Men,87682,67756,11123,56633,19926,15931,318,3677,
2016,Jeonbuk,Women,28422,22689,22330,359,5733,5612,102,19,
2016,Jeonnam,Men,133199,92710,19542,73168,40489,27954,246,12289,
2016,Jeonnam,Women,68884,55476,52276,3200,13408,12746,517,145,
2016,Gyeongnam,Men,100136,80690,15344,65346,19446,14759,115,4572,
2016,Gyeongnam,Women,27588,23778,22957,821,3810,3772,38,,
2016,Jeju,Men,23719,17767,3399,14368,5952,2850,39,3063,
2016,Jeju,Women,12087,10961,10949,12,1126,1064,51,11,
2016,Outside of Korean Red Cross,Men,140818,90991,11838,79153,49827,18887,578,29829,533
2016,Outside of Korean Red Cross,Women,80331,66044,41328,24716,14287,12410,1159,655,63
2017,Central Seoul,Men,,,,,,,,,
2017,Central Seoul,Women,,,,,,,,,
2017,Western Seoul,Men,201838,125323,15176,110147,76515,39123,1929,35463,
2017,Western Seoul,Women,75510,57225,50691,6534,18285,15867,2071,347,
2017,Southern Seoul,Men,185180,132123,15127,116996,53057,25742,1477,25838,
2017,Southern Seoul,Women,61416,48045,46156,1889,13371,11928,1191,252,
2017,Eastern Seoul,Men,201327,134402,19228,115174,66925,32084,2179,32662,
2017,Eastern Seoul,Women,78459,64383,58679,5704,14076,12548,1282,246,
2017,Busan,Men,151757,107857,13249,94608,43900,28396,250,15254,
2017,Busan,Women,63448,46651,44434,2217,16797,16589,170,38,
2017,DaeguGyeongbuk,Men,172578,121215,22821,98394,51363,39782,293,11288,
2017,DaeguGyeongbuk,Women,68196,53594,52084,1510,14602,14254,278,70,
2017,Incheon,Men,115780,81011,12200,68811,34769,22899,297,11573,
2017,Incheon,Women,47753,38926,35574,3352,8827,8507,240,80,
2017,Ulsan,Men,65900,47769,11435,36334,18131,11469,200,6462,
2017,Ulsan,Women,20361,16817,16515,302,3544,3471,52,21,
2017,Gyeonggi,Men,159730,119320,18008,101312,40410,24815,620,14975,
2017,Gyeonggi,Women,51083,43836,38950,4886,7247,6893,293,61,
2017,Gangwon,Men,127367,96334,8268,88066,31033,22778,185,8070,
2017,Gangwon,Women,27597,21366,18901,2465,6231,6050,124,57,
2017,Chungbuk,Men,71989,54006,8491,45515,17983,15616,222,2145,
2017,Chungbuk,Women,23655,19719,13851,5868,3936,3926,10,,
2017,DaejeonChungnam,Men,173478,126166,19641,106525,47312,38646,87,8579,
2017,DaejeonChungnam,Women,67634,52769,49410,3359,14865,14783,68,14,
2017,Jeonbuk,Men,87191,66721,11721,55000,20470,16189,539,3742,
2017,Jeonbuk,Women,27027,21519,21029,490,5508,5342,156,10,
2017,Jeonnam,Men,147667,102034,20668,81366,45633,34241,168,11224,
2017,Jeonnam,Women,72599,55244,52909,2335,17355,17023,222,110,
2017,Gyeongnam,Men,101365,80681,16709,63972,20684,16269,82,4333,
2017,Gyeongnam,Women,29130,25087,23672,1415,4043,4005,37,1,
2017,Jeju,Men,25714,18475,3059,15416,7239,4371,70,2798,
2017,Jeju,Women,12090,9942,9863,79,2148,2120,23,5,
2017,Outside of Korean Red Cross,Men,143380,93101,12540,80561,50279,20716,552,28428,583
2017,Outside of Korean Red Cross,Women,70471,58274,41924,16350,12197,11029,606,508,54
2018,Central Seoul,Men,195481,120748,12032,108716,74733,37659,2031,35043,
2018,Central Seoul,Women,71096,55638,51237,4401,15458,13427,1752,279,
2018,Western Seoul,Men,,,,,,,,,
2018,Western Seoul,Women,,,,,,,,,
2018,Southern Seoul,Men,173905,120413,13869,106544,53492,25670,2556,25266,
2018,Southern Seoul,Women,56594,44835,43726,1109,11759,10316,1232,211,
2018,Eastern Seoul,Men,201187,133770,17829,115941,67417,31494,2580,33343,
2018,Eastern Seoul,Women,77858,64302,57946,6356,13556,12024,1277,255,
2018,Busan,Men,156593,110863,12527,98336,45730,28589,257,16884,
2018,Busan,Women,67004,52155,50428,1727,14849,14527,263,59,
2018,DaeguGyeongbuk,Men,176709,124684,21381,103303,52025,41201,261,10563,
2018,DaeguGyeongbuk,Women,69446,56653,55346,1307,12793,12477,246,70,
2018,Incheon,Men,110801,79440,10469,68971,31361,20041,285,11035,
2018,Incheon,Women,46516,39798,33383,6415,6718,6423,213,82,
2018,Ulsan,Men,66006,47342,9983,37359,18664,12001,150,6513,
2018,Ulsan,Women,20705,17015,16904,111,3690,3591,93,6,
2018,Gyeonggi,Men,156393,112307,15192,97115,44086,25846,930,17310,
2018,Gyeonggi,Women,47519,40326,37810,2516,7193,6828,313,52,
2018,Gangwon,Men,134733,103380,7573,95807,31353,22874,234,8245,
2018,Gangwon,Women,26626,20893,18935,1958,5733,5599,104,30,
2018,Chungbuk,Men,71508,53696,7628,46068,17812,15621,208,1983,
2018,Chungbuk,Women,22300,18840,14111,4729,3460,3422,36,2,
2018,DaejeonChungnam,Men,178680,129253,18338,110915,49427,41303,115,8009,
2018,DaejeonChungnam,Women,69643,55231,53093,2138,14412,14324,69,19,
2018,Jeonbuk,Men,82490,63723,10513,53210,18767,14306,328,4133,
2018,Jeonbuk,Women,26092,21503,20011,1492,4589,4444,125,20,
2018,Jeonnam,Men,141168,98336,17270,81066,42832,33144,156,9532,
2018,Jeonnam,Women,65575,52340,49905,2435,13235,12937,201,97,
2018,Gyeongnam,Men,102900,81473,16101,65372,21427,17242,61,4124,
2018,Gyeongnam,Women,31819,27804,27450,354,4015,3973,37,5,
2018,Jeju,Men,24219,18659,3351,15308,5560,3597,19,1944,
2018,Jeju,Women,10045,8788,8743,45,1257,1251,4,2,
2018,Outside of Korean Red Cross,Men,134139,88283,12095,76188,45856,22403,483,22501,469
2018,Outside of Korean Red Cross,Women,67520,58501,45757,12744,9019,8293,380,288,58
2019,Central Seoul,Men,182916,120990,12463,108527,61926,28477,1877,31572,
2019,Central Seoul,Women,68119,55452,52178,3274,12667,10786,1617,264,
2019,Western Seoul,Men,,,,,,,,,
2019,Western Seoul,Women,,,,,,,,,
2019,Southern Seoul,Men,160320,109677,13088,96589,50643,20978,2651,27014,
2019,Southern Seoul,Women,54414,43895,43215,680,10519,8812,1490,217,
2019,Eastern Seoul,Men,186199,124530,16761,107769,61669,27392,2031,32246,
2019,Eastern Seoul,Women,73657,62553,58046,4507,11104,9759,1133,212,
2019,Busan,Men,149783,106429,11847,94582,43354,26551,228,16575,
2019,Busan,Women,63778,50492,46980,3512,13286,12904,347,35,
2019,DaeguGyeongbuk,Men,167290,117284,18447,98837,50006,38564,301,11141,
2019,DaeguGyeongbuk,Women,65191,53125,52389,736,12066,11764,267,35,
2019,Incheon,Men,112002,85442,9954,75488,26560,15111,307,11142,
2019,Incheon,Women,46390,40817,35993,4824,5573,5298,203,72,
2019,Ulsan,Men,68561,51086,10461,40625,17475,10743,149,6583,
2019,Ulsan,Women,23038,19703,19671,32,3335,3196,135,4,
2019,Gyeonggi,Men,158935,118671,17480,101191,40264,20590,978,18696,
2019,Gyeonggi,Women,52235,46161,44990,1171,6074,5707,307,60,
2019,Gangwon,Men,127408,97678,7700,89978,29730,21364,170,8196,
2019,Gangwon,Women,26198,21163,19355,1808,5035,4889,104,42,
2019,Chungbuk,Men,70263,54776,8204,46572,15487,13117,167,2203,
2019,Chungbuk,Women,23988,20871,18465,2406,3117,3065,51,1,
2019,DaejeonChungnam,Men,176499,125893,16689,109204,50606,41770,234,8602,
2019,DaejeonChungnam,Women,72279,57895,56998,897,14384,14267,86,31,
2019,Jeonbuk,Men,81328,63926,10645,53281,17402,12515,408,4479,
2019,Jeonbuk,Women,27575,23787,22132,1655,3788,3621,143,24,
2019,Jeonnam,Men,141682,100295,16780,83515,41387,31072,203,10112,
2019,Jeonnam,Women,64923,53005,49623,3382,11918,11576,284,58,
2019,Gyeongnam,Men,101395,80738,15900,64838,20657,16350,61,4246,
2019,Gyeongnam,Women,31562,28026,27690,336,3536,3486,41,9,
2019,Jeju,Men,24651,18056,3328,14728,6595,4119,35,2441,
2019,Jeju,Women,11322,9629,9618,11,1693,1673,12,8,
2019,Outside of Korean Red Cross,Men,127334,87976,14278,73698,39358,20198,378,18315,467
2019,Outside of Korean Red Cross,Women,49857,44123,39931,4192,5734,5332,192,180,30
2020,Central Seoul,Men,157832,102656,7510,95146,55176,21816,1574,31786,
2020,Central Seoul,Women,64192,51937,49365,2572,12255,9996,1905,354,
2020,Western Seoul,Men,,,,,,,,,
2020,Western Seoul,Women,,,,,,,,,
2020,Southern Seoul,Men,144323,98566,6236,92330,45757,16438,2407,26912,
2020,Southern Seoul,Women,45978,36610,35629,981,9368,7144,1999,225,
2020,Eastern Seoul,Men,171190,118100,9604,108496,53090,21066,1485,30539,
2020,Eastern Seoul,Women,60598,50246,47072,3174,10352,8906,1242,204,
2020,Busan,Men,138067,98535,6268,92267,39532,22533,217,16782,
2020,Busan,Women,59235,47533,44470,3063,11702,11311,346,45,
2020,DaeguGyeongbuk,Men,139286,94485,10804,83681,44801,33827,361,10613,
2020,DaeguGyeongbuk,Women,57087,46294,46046,248,10793,10257,453,83,
2020,Incheon,Men,119383,90998,5302,85696,28385,16096,381,11908,
2020,Incheon,Women,45691,39882,36965,2917,5809,5358,328,123,
2020,Ulsan,Men,63660,47998,6385,41613,15662,8467,239,6956,
2020,Ulsan,Women,18858,16447,16337,110,2411,2244,156,11,
2020,Gyeonggi,Men,171193,129302,12486,116816,41891,17926,1437,22528,
2020,Gyeonggi,Women,54709,48713,48039,674,5996,5326,588,82,
2020,Gangwon,Men,117333,90844,4812,86032,26489,17802,128,8559,
2020,Gangwon,Women,23337,18794,17401,1393,4543,4314,145,84,
2020,Chungbuk,Men,65938,51770,4867,46903,14168,11566,384,2218,
2020,Chungbuk,Women,19810,17352,15608,1744,2458,2402,55,1,
2020,DaejeonChungnam,Men,171640,124584,9662,114922,47056,37146,206,9704,
2020,DaejeonChungnam,Women,67185,55254,54756,498,11931,11666,240,25,
2020,Jeonbuk,Men,76352,60881,7763,53118,15471,10514,282,4675,
2020,Jeonbuk,Women,26418,22928,21869,1059,3490,3243,234,13,
2020,Jeonnam,Men,127499,90037,9350,80687,37462,26476,443,10543,
2020,Jeonnam,Women,55654,46093,42139,3954,9561,9004,499,58,
2020,Gyeongnam,Men,100405,80121,9793,70328,20284,15289,135,4860,
2020,Gyeongnam,Women,30684,27180,26535,645,3504,3405,84,15,
2020,Jeju,Men,29017,20478,2609,17869,8539,5294,39,3206,
2020,Jeju,Women,12656,10442,10435,7,2214,2149,37,28,
2020,Outside of Korean Red Cross,Men,123326,82834,11539,71295,40492,16110,330,23612,440
2020,Outside of Korean Red Cross,Women,52865,46739,44836,1903,6126,5562,313,239,12
2021,Central Seoul,Men,155322,102508,7527,94981,52814,19137,1986,31691,
2021,Central Seoul,Women,61162,50572,48011,2561,10590,8128,2089,373,
2021,Western Seoul,Men,,,,,,,,,
2021,Western Seoul,Women,,,,,,,,,
2021,Southern Seoul,Men,132869,89871,5988,83883,42998,13607,1783,27608,
2021,Southern Seoul,Women,43517,35748,34808,940,7769,5626,1869,274,
2021,Eastern Seoul,Men,167635,113625,9370,104255,54010,19698,2080,32232,
2021,Eastern Seoul,Women,62920,52826,50552,2274,10094,8298,1528,268,
2021,Busan,Men,135511,96577,6135,90442,38934,20013,368,18553,
2021,Busan,Women,59275,48400,46314,2086,10875,10234,525,116,
2021,DaeguGyeongbuk,Men,159155,112640,12780,99860,46515,32711,397,13407,
2021,DaeguGyeongbuk,Women,66175,56237,56010,227,9938,9263,604,71,
2021,Incheon,Men,119848,90546,5717,84829,29302,16473,462,12367,
2021,Incheon,Women,46915,41367,39137,2230,5548,5009,444,95,
2021,Ulsan,Men,63842,48195,7697,40498,15647,8168,223,7256,
2021,Ulsan,Women,19707,17497,17461,36,2210,2033,166,11,
2021,Gyeonggi,Men,168602,125792,12626,113166,42810,17533,1684,23593,
2021,Gyeonggi,Women,57134,51228,50727,501,5906,5062,747,97,
2021,Gangwon,Men,110113,85184,5176,80008,24929,16397,303,8229,
2021,Gangwon,Women,24180,19980,19143,837,4200,3982,193,25,
2021,Chungbuk,Men,63824,51232,5953,45279,12592,9894,374,2324,
2021,Chungbuk,Women,20749,18508,17572,936,2241,2148,83,10,
2021,DaejeonChungnam,Men,166881,121591,11285,110306,45290,33818,408,11064,
2021,DaejeonChungnam,Women,66548,55760,55312,448,10788,10346,386,56,
2021,Jeonbuk,Men,76286,61511,8466,53045,14775,9460,316,4999,
2021,Jeonbuk,Women,26629,23662,22994,668,2967,2680,272,15,
2021,Jeonnam,Men,127598,92965,10373,82592,34633,22487,747,11399,
2021,Jeonnam,Women,57700,48793,44743,4050,8907,8224,529,154,
2021,Gyeongnam,Men,95004,75390,9089,66301,19614,13847,220,5547,
2021,Gyeongnam,Women,29643,26401,25947,454,3242,3122,109,11,
2021,Jeju,Men,29466,21719,2992,18727,7747,4327,46,3374,
2021,Jeju,Women,12569,10859,10858,1,1710,1599,83,28,
2021,Outside of Korean Red Cross,Men,123175,81261,13025,68236,41914,15644,338,25395,537
2021,Outside of Korean Red Cross,Women,54483,48653,47755,898,5830,5113,372,307,38
2022,Central Seoul,Men,155262,103044,8221,94823,52218,19658,1872,30688,
2022,Central Seoul,Women,68355,56927,54647,2280,11428,8960,2084,384,
2022,Western Seoul,Men,,,,,,,,,
2022,Western Seoul,Women,,,,,,,,,
2022,Southern Seoul,Men,132872,90674,7222,83452,42198,13798,1535,26865,
2022,Southern Seoul,Women,48969,40518,39780,738,8451,6377,1810,264,
2022,Eastern Seoul,Men,166638,108055,10212,97843,58583,22459,1920,34204,
2022,Eastern Seoul,Women,71618,60782,58640,2142,10836,8845,1674,317,
2022,Busan,Men,138212,98021,5861,92160,40191,21264,400,18527,
2022,Busan,Women,65959,54001,52633,1368,11958,11317,552,89,
2022,DaeguGyeongbuk,Men,158967,116409,12362,104047,42558,27069,405,15084,
2022,DaeguGyeongbuk,Women,66187,55670,55503,167,10517,9801,641,75,
2022,Incheon,Men,119983,88217,5161,83056,31766,17053,416,14297,
2022,Incheon,Women,50726,44366,42685,1681,6360,5738,511,111,
2022,Ulsan,Men,64183,47511,6642,40869,16672,8728,213,7731,
2022,Ulsan,Women,22936,20030,17309,2721,2906,2647,227,32,
2022,Gyeonggi,Men,158940,116917,12184,104733,42023,18197,1249,22577,
2022,Gyeonggi,Women,57867,51629,51286,343,6238,5266,870,102,
2022,Gangwon,Men,98394,73085,4696,68389,25309,16808,295,8206,
2022,Gangwon,Women,26472,22280,21452,828,4192,3934,228,30,
2022,Chungbuk,Men,61230,48459,5403,43056,12771,10297,420,2054,
2022,Chungbuk,Women,22590,20511,20044,467,2079,2016,47,16,
2022,DaejeonChungnam,Men,165157,115736,9887,105849,49421,37941,414,11066,
2022,DaejeonChungnam,Women,71999,58540,58231,309,13459,13035,370,54,
2022,Jeonbuk,Men,69236,53496,7061,46435,15740,10945,414,4381,
2022,Jeonbuk,Women,27728,24002,23445,557,3726,3399,317,10,
2022,Jeonnam,Men,124892,88115,8215,79900,36777,24917,514,11346,
2022,Jeonnam,Women,64633,54243,48988,5255,10390,9853,458,79,
2022,Gyeongnam,Men,92168,71399,7913,63486,20769,15389,446,4934,
2022,Gyeongnam,Women,31082,27209,26765,444,3873,3765,106,2,
2022,Jeju,Men,28988,19848,2643,17205,9140,5182,42,3916,
2022,Jeju,Women,12760,10432,10425,7,2328,2212,93,23,
2022,Outside of Korean Red Cross,Men,141062,100202,14934,85268,40860,15647,312,24488,413
2022,Outside of Korean Red Cross,Women,62942,57780,57148,632,5162,4568,273,269,52
2023,Central Seoul,Men,165697,103998,9024,94974,61699,25262,1542,34895,
2023,Central Seoul,Women,68768,56148,53872,2276,12620,10090,2052,478,
2023,Western Seoul,Men,,,,,,,,,
2023,Western Seoul,Women,,,,,,,,,
2023,Southern Seoul,Men,147219,97267,10511,86756,49952,17914,1720,30318,
2023,Southern Seoul,Women,49037,39809,39052,757,9228,6981,1928,319,
2023,Eastern Seoul,Men,180698,112971,12750,100221,67727,29123,2088,36516,
2023,Eastern Seoul,Women,75082,62902,61369,1533,12180,10123,1658,399,
2023,Busan,Men,142395,98332,7649,90683,44063,23723,397,19943,
2023,Busan,Women,63300,50698,49509,1189,12602,11952,554,96,
2023,DaeguGyeongbuk,Men,167443,118750,14234,104516,48693,31667,525,16501,
2023,DaeguGyeongbuk,Women,62272,51326,50958,368,10946,10240,612,94,
2023,Incheon,Men,127399,87219,7173,80046,40180,20954,519,18707,
2023,Incheon,Women,49440,41694,40267,1427,7746,6873,689,184,
2023,Ulsan,Men,73750,51991,6968,45023,21759,10255,314,11190,
2023,Ulsan,Women,25511,21803,17354,4449,3708,3313,356,39,
2023,Gyeonggi,Men,169324,119535,14551,104984,49789,23350,1354,25085,
2023,Gyeonggi,Women,55839,48550,48212,338,7289,6296,881,112,
2023,Gangwon,Men,106032,77970,6361,71609,28062,18505,169,9388,
2023,Gangwon,Women,26819,22566,21878,688,4253,3919,276,58,
2023,Chungbuk,Men,63581,48661,5678,42983,14920,12093,168,2659,
2023,Chungbuk,Women,21840,19282,19016,266,2558,2524,25,9,
2023,DaejeonChungnam,Men,168393,115499,10529,104970,52894,40427,294,12173,
2023,DaejeonChungnam,Women,66210,52568,52284,284,13642,13283,279,80,
2023,Jeonbuk,Men,72737,54741,7278,47463,17996,12577,203,5216,
2023,Jeonbuk,Women,27377,22496,22116,380,4881,4509,327,45,
2023,Jeonnam,Men,128962,87674,9651,78023,41288,27681,483,13124,
2023,Jeonnam,Women,60125,49934,46610,3324,10191,9784,326,81,
2023,Gyeongnam,Men,99097,75763,9552,66211,23334,18433,373,4528,
2023,Gyeongnam,Women,29996,25519,25298,221,4477,4358,119,,
2023,Jeju,Men,32532,21817,2912,18905,10715,6014,54,4647,
2023,Jeju,Women,14571,11576,11557,19,2995,2823,138,34,
2023,Outside of Korean Red Cross,Men,163633,111712,11492,100220,51921,17924,310,33282,405
2023,Outside of Korean Red Cross,Women,71212,62719,54142,8577,8493,7652,425,381,35
