year,source,sex,total,whole_blood_donation,whole_blood_donation_320ml,whole_blood_donation_400ml,apheresis_donation,apheresis_donation_plasma,apheresis_donation_platelets,apheresis_donation_multiapheresis,apheresis_donation_other
2007,Eastern Seoul,Women,54876,51805,51228,577,3071,2916,155,,
2007,Busan,Men,147725,125727,17962,107765,21998,16211,5787,,
2007,Busan,Women,41898,32580,31828,752,9318,9138,180,,
2007,DaeguGyeongbuk,Men,117241,104574,19897,84677,12667,10251,2416,,
2007,DaeguGyeongbuk,Women,40158,37377,35951,1426,2781,2653,128,,
2007,Incheon,Men,79101,59369,12249,47120,19732,16135,3597,,
2007,Incheon,Women,30994,24668,23738,930,6326,6063,263,,
2007,Ulsan,Men,52640,43808,7799,36009,8832,7487,1345,,
2007,Ulsan,Women,12792,10518,9872,646,2274,2218,56,,
2007,Gyeonggi,Men,102817,91221,15757,75464,11596,8232,3364,,
2007,Gyeonggi,Women,26298,24331,22055,2276,1967,1802,165,,
2007,Gangwon,Men,55609,49722,3294,46428,5887,5653,234,,
2007,Gangwon,Women,9032,7745,6108,1637,1287,1281,6,,
2007,Chungbuk,Men,58357,47674,6267,41407,10683,10258,425,,
2007,Chungbuk,Women,14446,11710,7104,4606,2736,2699,37,,
2007,DaejeonChungnam,Men,115479,101264,16091,85173,14215,13033,1182,,
2007,DaejeonChungnam,Women,31118,26982,26861,121,4136,4062,74,,
2007,Jeonbuk,Men,75743,59364,10462,48902,16379,15101,1278,,
2007,Jeonbuk,Women,22431,16883,16459,424,5548,5458,90,,
2007,Jeonnam,Men,125849,104052,21698,82354,21797,19541,2256,,
2007,Jeonnam,Women,52155,42935,40153,2782,9220,9081,139,,
2007,Gyeongnam,Men,75367,69078,12249,56829,6289,4774,1515,,
2007,Gyeongnam,Women,16392,15721,15694,27,671,643,28,,
2007,Jeju,Men,21524,18503,3626,14877,3021,2663,358,,
2007,Jeju,Women,6015,5326,5326,,689,653,36,,
2007,Outside of Korean Red Cross,Men,46408,43439,7865,35574,2969,1,1972,,996
2007,Outside of Korean Red Cross,Women,12670,12254,10213,2041,416,2,308,,106
2008,Central Seoul,Men,147237,110329,17697,92632,36908,24627,12281,,
2008,Central Seoul,Women,60733,52159,49725,2434,8574,7066,1508,,
2008,Western Seoul,Men,127664,82525,15318,67207,45139,25599,19540,,
2008,Western Seoul,Women,43179,31457,30887,570,11722,10270,1452,,
2008,Southern Seoul,Men,143313,116941,12110,104831,26372,17361,9011,,
2008,Southern Seoul,Women,43844,37797,30570,7227,6047,5548,499,,
2008,Eastern Seoul,Men,134437,115644,25944,89700,18793,15165,3628,,
2008,Eastern Seoul,Women,63698,59996,59617,379,3702,3581,121,,
2008,Busan,Men,157411,129958,21000,108958,27453,21828,5625,,
2008,Busan,Women,52858,39074,37820,1254,13784,13535,249,,
2008,DaeguGyeongbuk,Men,132309,117407,23729,93678,14902,11753,3149,,
2008,DaeguGyeongbuk,Women,55716,51818,49779,2039,3898,3551,347,,
2008,Incheon,Men,86693,59771,12803,46968,26922,23054,3868,,
2008,Incheon,Women,35109,28370,27104,1266,6739,6435,304,,
2008,Ulsan,Men,56031,42365,9124,33241,13666,12243,1423,,
2008,Ulsan,Women,15253,10323,9849,474,4930,4822,108,,
2008,Gyeonggi,Men,110129,93549,17920,75629,16580,12573,4007,,
2008,Gyeonggi,Women,31428,28034,25632,2402,3394,3211,183,,
2008,Gangwon,Men,61668,44579,3760,40819,17089,16957,132,,
2008,Gangwon,Women,11605,9549,7930,1619,2056,2050,6,,
2008,Chungbuk,Men,67104,53716,8146,45570,13388,12993,395,,
2008,Chungbuk,Women,17847,13826,8629,5197,4021,4009,12,,
2008,DaejeonChungnam,Men,132794,109851,17526,92325,22943,21476,1467,,
2008,DaejeonChungnam,Women,40440,30623,30227,396,9817,9699,118,,
2008,Jeonbuk,Men,81835,61090,11549,49541,20745,19009,1736,,
2008,Jeonbuk,Women,25998,17591,17070,521,8407,8256,151,,
2008,Jeonnam,Men,131553,100279,24185,76094,31274,28593,2681,,
2008,Jeonnam,Women,63098,46173,43759,2414,16925,16767,158,,
2008,Gyeongnam,Men,84418,75262,15738,59524,9156,7159,1997,,
2008,Gyeongnam,Women,17648,15674,15671,3,1974,1928,46,,
2008,Jeju,Men,23199,18436,3461,14975,4763,4166,597,,
2008,Jeju,Women,9343,7446,6076,1370,1897,1851,46,,
2008,Outside of Korean Red Cross,Men,63397,60940,8418,52522,2457,3,1316,,1138
2008,Outside of Korean Red Cross,Women,18195,17860,14565,3295,335,,195,,140
2009,Central Seoul,Men,147925,109140,18663,90477,38785,26492,12293,,
2009,Central Seoul,Women,60599,49868,47291,2577,10731,9639,1092,,
2009,Western Seoul,Men,142694,93634,15068,78566,49060,27745,21315,,
2009,Western Seoul,Women,50529,36969,36004,965,13560,12169,1391,,
2009,Southern Seoul,Men,154754,123886,12189,111697,30868,21185,9683,,
2009,Southern Seoul,Women,53767,46168,38960,7208,7599,7171,428,,
2009,Eastern Seoul,Men,141685,113423,26984,86439,28262,25960,2302,,
2009,Eastern Seoul,Women,71509,63485,63176,309,8024,7949,75,,
2009,Busan,Men,160198,128825,17831,110994,31373,26354,5019,,
2009,Busan,Women,56614,39767,38938,829,16847,16664,183,,
2009,DaeguGyeongbuk,Men,151628,132695,23896,108799,18933,14322,4611,,
2009,DaeguGyeongbuk,Women,63851,59026,57475,1551,4825,4332,493,,
2009,Incheon,Men,89985,60304,11139,49165,29681,24813,4868,,
2009,Incheon,Women,40884,32858,30755,2103,8026,7781,245,,
2009,Ulsan,Men,57357,44235,9648,34587,13122,11329,1793,,
2009,Ulsan,Women,16571,12689,12026,663,3882,3836,46,,
2009,Gyeonggi,Men,122372,101856,19215,82641,20516,16210,4306,,
2009,Gyeonggi,Women,42429,37633,35748,1885,4796,4624,172,,
2009,Gangwon,Men,64310,46664,3868,42796,17646,17471,175,,
2009,Gangwon,Women,15453,13235,10450,2785,2218,2214,4,,
2009,Chungbuk,Men,78801,59476,8603,50873,19325,18845,480,,
2009,Chungbuk,Women,20646,14513,8994,5519,6133,6127,6,,
2009,DaejeonChungnam,Men,139646,110153,13902,96251,29493,27529,1964,,
2009,DaejeonChungnam,Women,43131,29072,28627,445,14059,14002,57,,
2009,Jeonbuk,Men,91565,65347,12013,53334,26218,24232,1986,,
2009,Jeonbuk,Women,29680,18970,18790,180,10710,10672,38,,
2009,Jeonnam,Men,137614,101035,24224,76811,36579,33243,3336,,
2009,Jeonnam,Women,64214,44965,43455,1510,19249,19111,138,,
2009,Gyeongnam,Men,93545,82016,16302,65714,11529,9258,2271,,
2009,Gyeongnam,Women,21008,18519,18508,11,2489,2456,33,,
2009,Jeju,Men,25016,17695,3000,14695,7321,5977,1344,,
2009,Jeju,Women,11900,8519,7374,1145,3381,3320,61,,
2009,Outside of Korean Red Cross,Men,80422,74796,6977,67819,5626,1583,3070,,973
2009,Outside of Korean Red Cross,Women,27652,26229,17775,8454,1423,735,563,,125
2010,Central Seoul,Men,172472,127846,26122,101724,44626,25142,19484,,
