year,source,sex,age,count
2008,Gyeongnaam,Men,16-19,28740
2008,Gyeongnaam,Women,16-19,9981
2008,Jeju,Men,16-19,6773
2008,Jeju,Women,16-19,5490
2008,Outside of Korean Red Cross,Men,16-19,17433
2008,Outside of Korean Red Cross,Women,16-19,7129
2009,Central Seoul,Men,16-19,35424
2009,Central Seoul,Women,16-19,25729
2009,Western Seoul,Men,16-19,35883
2009,Western Seoul,Women,16-19,21336
2009,Southern Seoul,Men,16-19,28994
2009,Southern Seoul,Women,16-19,19228
2009,Eastern Seoul,Men,16-19,52568
2009,Eastern Seoul,Women,16-19,40774
2009,Busan,Men,16-19,47231
2009,Busan,Women,16-19,28921
2009,Daegu/Gyeungbook,Men,16-19,47181
2009,Daegu/Gyeungbook,Women,16-19,33048
2009,Incheon,Men,16-19,28477
2009,Incheon,Women,16-19,22756
2009,Ulsan,Men,16-19,19124
2009,Ulsan,Women,16-19,9788
2009,Gyeonggi,Men,16-19,34993
2009,Gyeonggi,Women,16-19,22092
2009,Gangwon,Men,16-19,15185
2009,Gangwon,Women,16-19,7447
2009,Chungbook,Men,16-19,25949
2009,Chungbook,Women,16-19,11365
2009,Daejeon/Sejong/Chungnaam,Men,16-19,41630
2009,Daejeon/Sejong/Chungnaam,Women,16-19,21135
2009,Jeonbook,Men,16-19,32851
2009,Jeonbook,Women,16-19,17158
2009,Gwangju/Jeonnam,Men,16-19,44918
2009,Gwangju/Jeonnam,Women,16-19,37491
2009,Gyeongnaam,Men,16-19,29087
2009,Gyeongnaam,Women,16-19,11788
2009,Jeju,Men,16-19,7109
2009,Jeju,Women,16-19,6783
2009,Outside of Korean Red Cross,Men,16-19,22728
2009,Outside of Korean Red Cross,Women,16-19,11409
2010,Central Seoul,Men,16-19,50237
2010,Central Seoul,Women,16-19,36960
2010,Western Seoul,Men,16-19,16765
2010,Western Seoul,Women,16-19,10093
2010,Southern Seoul,Men,16-19,35807
2010,Southern Seoul,Women,16-19,22542
2010,Eastern Seoul,Men,16-19,61110
2010,Eastern Seoul,Women,16-19,49399
2010,Busan,Men,16-19,57570
2010,Busan,Women,16-19,35209
2010,Daegu/Gyeungbook,Men,16-19,47832
2010,Daegu/Gyeungbook,Women,16-19,35787
2010,Incheon,Men,16-19,38379
2010,Incheon,Women,16-19,31076
2010,Ulsan,Men,16-19,20303
2010,Ulsan,Women,16-19,11742
2010,Gyeonggi,Men,16-19,40438
2010,Gyeonggi,Women,16-19,27375
2010,Gangwon,Men,16-19,17960
2010,Gangwon,Women,16-19,9098
2010,Chungbook,Men,16-19,27419
2010,Chungbook,Women,16-19,11799
2010,Daejeon/Sejong/Chungnaam,Men,16-19,51662
2010,Daejeon/Sejong/Chungnaam,Women,16-19,22719
2010,Jeonbook,Men,16-19,35190
2010,Jeonbook,Women,16-19,18139
2010,Gwangju/Jeonnam,Men,16-19,47248
2010,Gwangju/Jeonnam,Women,16-19,41537
2010,Gyeongnaam,Men,16-19,33610
2010,Gyeongnaam,Women,16-19,14188
2010,Jeju,Men,16-19,7566
2010,Jeju,Women,16-19,8000
2010,Outside of Korean Red Cross,Men,16-19,31957
2010,Outside of Korean Red Cross,Women,16-19,22828
2011,Central Seoul,Men,16-19,
2011,Central Seoul,Women,16-19,
2011,Western Seoul,Men,16-19,54005
2011,Western Seoul,Women,16-19,44675
2011,Southern Seoul,Men,16-19,35827
2011,Southern Seoul,Women,16-19,21368
2011,Eastern Seoul,Men,16-19,62716
2011,Eastern Seoul,Women,16-19,50117
2011,Busan,Men,16-19,52908
2011,Busan,Women,16-19,35894
2011,Daegu/Gyeungbook,Men,16-19,48942
2011,Daegu/Gyeungbook,Women,16-19,36833
2011,Incheon,Men,16-19,48150
2011,Incheon,Women,16-19,36699
2011,Ulsan,Men,16-19,21495
2011,Ulsan,Women,16-19,11399
2011,Gyeonggi,Men,16-19,44702
2011,Gyeonggi,Women,16-19,29658
2011,Gangwon,Men,16-19,21332
2011,Gangwon,Women,16-19,10712
2011,Chungbook,Men,16-19,25302
2011,Chungbook,Women,16-19,11008
2011,Daejeon/Sejong/Chungnaam,Men,16-19,52134
2011,Daejeon/Sejong/Chungnaam,Women,16-19,24143
2011,Jeonbook,Men,16-19,34212
2011,Jeonbook,Women,16-19,21401
2011,Gwangju/Jeonnam,Men,16-19,48458
2011,Gwangju/Jeonnam,Women,16-19,44487
2011,Gyeongnaam,Men,16-19,35990
2011,Gyeongnaam,Women,16-19,13411
2011,Jeju,Men,16-19,8067
2011,Jeju,Women,16-19,7868
2011,Outside of Korean Red Cross,Men,16-19,35610
2011,Outside of Korean Red Cross,Women,16-19,29330
2012,Central Seoul,Men,16-19,
2012,Central Seoul,Women,16-19,
2012,Western Seoul,Men,16-19,56588
2012,Western Seoul,Women,16-19,41391
2012,Southern Seoul,Men,16-19,35419
2012,Southern Seoul,Women,16-19,21638
2012,Eastern Seoul,Men,16-19,63804
2012,Eastern Seoul,Women,16-19,49766
2012,Busan,Men,16-19,48760
2012,Busan,Women,16-19,32888
2012,Daegu/Gyeungbook,Men,16-19,49658
2012,Daegu/Gyeungbook,Women,16-19,38746
2012,Incheon,Men,16-19,43679
2012,Incheon,Women,16-19,33796
2012,Ulsan,Men,16-19,22062
2012,Ulsan,Women,16-19,12047
2012,Gyeonggi,Men,16-19,38703
2012,Gyeonggi,Women,16-19,24851
2012,Gangwon,Men,16-19,25398
2012,Gangwon,Women,16-19,11997
2012,Chungbook,Men,16-19,27770
2012,Chungbook,Women,16-19,12122
2012,Daejeon/Sejong/Chungnaam,Men,16-19,52688
2012,Daejeon/Sejong/Chungnaam,Women,16-19,28054
2012,Jeonbook,Men,16-19,34720
2012,Jeonbook,Women,16-19,21651
2012,Gwangju/Jeonnam,Men,16-19,45431
2012,Gwangju/Jeonnam,Women,16-19,39241
2012,Gyeongnaam,Men,16-19,37623
2012,Gyeongnaam,Women,16-19,14840
2012,Jeju,Men,16-19,6836
2012,Jeju,Women,16-19,7118
2012,Outside of Korean Red Cross,Men,16-19,38173
2012,Outside of Korean Red Cross,Women,16-19,30976
2013,Central Seoul,Men,16-19,
2013,Central Seoul,Women,16-19,
2013,Western Seoul,Men,16-19,55402
2013,Western Seoul,Women,16-19,41425
2013,Southern Seoul,Men,16-19,33996
2013,Southern Seoul,Women,16-19,21483
2013,Eastern Seoul,Men,16-19,59984
2013,Eastern Seoul,Women,16-19,49604
2013,Busan,Men,16-19,49745
2013,Busan,Women,16-19,36494
2013,Daegu/Gyeungbook,Men,16-19,50441
2013,Daegu/Gyeungbook,Women,16-19,39300
2013,Incheon,Men,16-19,39808
2013,Incheon,Women,16-19,34031
2013,Ulsan,Men,16-19,22057
2013,Ulsan,Women,16-19,11397
2013,Gyeonggi,Men,16-19,38780
2013,Gyeonggi,Women,16-19,25972
2013,Gangwon,Men,16-19,25418
2013,Gangwon,Women,16-19,13666
2013,Chungbook,Men,16-19,24424
2013,Chungbook,Women,16-19,12604
2013,Daejeon/Sejong/Chungnaam,Men,16-19,50129
