Year,Month,Month_Number,Surgery,Patients
2021,January,1, Prostatectomy ,162.0
2021,February,2, Prostatectomy ,115.0
2021,March,3, Prostatectomy ,150.0
2021,April,4, Prostatectomy ,144.0
2021,May,5, Prostatectomy ,132.0
2021,June,6, Prostatectomy ,112.0
2021,July,7, Prostatectomy ,126.0
2021,August,8, Prostatectomy ,133.0
2021,September,9, Prostatectomy ,104.0
2021,October,10, Prostatectomy ,116.0
2021,November,11, Prostatectomy ,120.0
2021,December,12, Prostatectomy ,106.0
2022,January,1, Prostatectomy ,115.0
2022,February,2, Prostatectomy ,99.0
2022,March,3, Prostatectomy ,86.0
2022,April,4, Prostatectomy ,121.0
2022,May,5, Prostatectomy ,108.0
2022,June,6, Prostatectomy ,124.0
2022,July,7, Prostatectomy ,120.0
2022,August,8, Prostatectomy ,103.0
2022,September,9, Prostatectomy ,109.0
2022,October,10, Prostatectomy ,113.0
2022,November,11, Prostatectomy ,107.0
2022,December,12, Prostatectomy ,117.0
2006,January,1, Total abdominal hysterectomy ,9579.0
2006,February,2, Total abdominal hysterectomy ,8679.0
2006,March,3, Total abdominal hysterectomy ,8025.0
2006,April,4, Total abdominal hysterectomy ,7148.0
2006,May,5, Total abdominal hysterectomy ,7743.0
2006,June,6, Total abdominal hysterectomy ,7491.0
2006,July,7, Total abdominal hysterectomy ,8705.0
2006,August,8, Total abdominal hysterectomy ,9220.0
2006,September,9, Total abdominal hysterectomy ,7786.0
2006,October,10, Total abdominal hysterectomy ,7407.0
2006,November,11, Total abdominal hysterectomy ,7345.0
2006,December,12, Total abdominal hysterectomy ,7527.0
2007,January,1, Total abdominal hysterectomy ,10778.0
2007,February,2, Total abdominal hysterectomy ,7855.0
2007,March,3, Total abdominal hysterectomy ,8030.0
2007,April,4, Total abdominal hysterectomy ,7583.0
2007,May,5, Total abdominal hysterectomy ,7914.0
2007,June,6, Total abdominal hysterectomy ,7358.0
2007,July,7, Total abdominal hysterectomy ,9041.0
2007,August,8, Total abdominal hysterectomy ,9085.0
2007,September,9, Total abdominal hysterectomy ,7002.0
2007,October,10, Total abdominal hysterectomy ,7631.0
2007,November,11, Total abdominal hysterectomy ,7081.0
2007,December,12, Total abdominal hysterectomy ,7526.0
2008,January,1, Total abdominal hysterectomy ,10840.0
2008,February,2, Total abdominal hysterectomy ,7730.0
2008,March,3, Total abdominal hysterectomy ,8088.0
2008,April,4, Total abdominal hysterectomy ,7414.0
2008,May,5, Total abdominal hysterectomy ,7543.0
