"Area",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"Area",Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December
"Sejong",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10060,-,-,-,-,-,-,897,1922,1683,1956,1821,1781,27988,1898,1988,2261,2320,2553,2736,2485,2854,2966,2401,1717,1809,32858,2220,1968,2309,2561,2998,2954,3191,2928,2861,2900,2799,3169
"Gyeonggi",1355300,113528,115294,108989,104259,121923,115321,114810,115492,117601,106065,106965,115053,1313160,112049,118378,111750,107302,124376,79803,99412,118685,118958,107568,102277,112602,1423431,106639,123154,109559,110941,124670,119031,125668,126555,125199,111188,106500,134327,1371214,119354,90579,102390,111351,120820,114158,123062,118295,113342,124594,104086,129183,1415092,123011,105938,104998,109496,123147,118478,124395,122224,126775,111356,111123,134151,1532825,120755,114578,121537,126693,133690,131941,132684,134919,137331,123745,115846,139106,1125425,145233,89199,76255,75936,96034,98183,102672,97690,82962,98108,87395,75758,1180789,81314,85658,90686,89546,99142,105813,102861,110430,119374,111415,97179,87371,1224067,92549,81786,85623,86671,102913,106710,115650,116411,113536,108246,104271,109701
"Gangwon",175716,14354,13625,13928,13219,16601,15352,15547,16664,15492,13600,13126,14208,189474,15821,16533,15548,15507,18352,12297,15474,19086,16729,15451,13515,15161,200456,14850,17455,14797,15060,17193,16202,17591,19546,18015,16488,14874,18385,211321,17429,13464,15275,16804,19126,17717,19855,19908,17260,19804,15266,19413,219260,18781,16990,16298,16635,18927,18330,20305,20649,19788,16604,15859,20094,217748,16911,16230,16187,17190,19025,18221,19434,21177,19509,17834,16856,19174,183994,21247,13501,11507,13131,16221,16566,17515,17889,14243,16343,13477,12354,184975,12209,13580,14387,14037,16046,16744,16996,17284,18526,17009,14610,13547,197525,15324,13308,14113,14680,16546,17078,19213,19594,18254,17158,15696,16561
"Chungbook",117060,9566,10211,9525,9173,10737,9591,9515,10515,10311,9083,9381,9452,114792,8880,9500,10051,9657,11023,8053,8895,10509,10770,9387,8820,9247,126046,9121,11064,9829,9998,10803,10159,11198,11374,11531,10279,9623,11067,123680,10923,8156,9019,10205,11084,10296,10784,10939,10472,11522,8947,11333,127805,10482,9513,9743,10055,11345,10689,11503,11347,11604,9804,10139,11581,160918,12390,12189,12770,13380,14489,14121,13764,14409,14746,13149,12211,13300,123116,14124,9572,8699,9442,10969,10771,11159,10811,9412,10648,9108,8401,130814,8758,8984,9499,9865,10802,11538,11767,12558,13827,12816,10764,9636,139590,10435,9471,10549,10676,11808,11689,12731,13504,12901,12130,11661,12035
"Chungnaam",219719,16444,15273,17617,16662,20837,19523,18426,20087,20738,17679,18179,18254,217339,17654,19995,18910,18158,20972,13914,16793,19978,20160,17678,16062,17065,290946,20560,25996,22656,23733,25936,24423,25057,25511,26541,23372,20870,26291,278684,23744,17490,20721,23550,24708,22935,24959,24339,23107,26806,20704,25621,285421,23769,21466,20856,22211,24701,23482,24917,24889,27778,22576,21529,27247,280963,20917,20608,21782,23296,26454,24830,23763,25167,26099,22979,21252,23816,215377,25875,16478,12975,14783,19073,19071,19425,19878,16115,19303,17057,15344,233385,15055,16819,18473,17455,19443,20381,20509,22272,24705,22890,18416,16967,252156,18187,16657,18582,18431,21030,21062,23421,24832,23870,22268,21140,22676
"Jeonbook",156981,12983,12812,12710,12458,14483,12908,13210,13659,14331,12604,12194,12629,161065,13034,14368,14345,13040,15092,10485,12976,14924,14788,12904,11995,13114,218089,15381,19164,17081,17449,19572,18458,19217,19616,19810,17611,15701,19029,251889,20646,15294,18257,20690,22748,20717,22364,23078,21508,25025,19027,22535,234269,19870,18164,17660,17657,20218,19172,20002,20533,22625,18424,17371,22573,273809,21630,21140,21348,22839,24870,23442,23541,24815,25693,22370,19796,22325,233624,26550,16907,15381,15919,20191,20520,20897,22572,18848,21479,18031,16329,224867,15870,16473,17126,16451,18775,19955,19489,21059,23384,21473,17982,16830,248211,18599,16758,19285,18263,20446,20463,22688,25056,23956,21917,20423,20357
"Jeonnaam",106947,8769,8800,8660,8027,9745,8974,8667,9521,10370,8706,8100,8608,111971,8929,11005,9669,8968,10400,8049,8810,10091,10232,9110,8070,8638,112545,8124,10709,8448,8724,9715,9128,9654,10305,10785,9201,8231,9521,113283,10541,7319,8458,9507,9965,8991,9902,10043,8961,11058,8274,10264,117031,10140,9344,8564,9164,10029,9362,10118,10390,11098,9216,8696,10910,116980,9210,9260,9261,9435,9900,9764,9695,10788,11037,9675,8991,9964,107681,11787,7809,7524,7742,9568,9423,9186,10221,8750,9890,8149,7632,105922,7751,8241,8294,7845,8765,9266,9202,9990,10915,9842,7929,7882,102811,8014,7259,7760,7685,8549,8580,9295,10120,9540,9059,8109,8841
"Gyeongbook",286338,23736,24395,23795,22317,26837,23689,23630,25059,25783,22221,21550,23326,280066,22651,25870,25024,23086,26835,19013,21821,25358,25769,22912,20186,21541,283614,20055,26539,22710,22641,24877,22966,24873,25129,26033,22086,20307,25398,274477,24580,17191,19888,22219,24627,22002,24611,24007,22126,26105,19827,27294,281325,25156,22267,21011,22323,24207,23528,25115,24665,26213,21314,19973,25553,272090,20907,20971,20777,22126,23962,22884,23288,25245,26202,21861,20665,23202,208091,26225,15751,12195,14240,17636,17852,18381,20415,16216,18962,15956,14262,223060,14704,15894,16704,16886,18567,19386,20123,21160,23789,21702,17863,16282,238727,17753,16013,17248,17474,20224,19274,22281,23893,22638,20714,19549,21666
"Gyeongnaam",280280,22693,25509,23802,21509,25055,22435,22871,23495,25022,21953,21826,24110,276972,23874,26453,23628,22887,26496,18677,21508,24550,24058,21705,20331,22805,270247,20758,26819,21463,21624,23817,22110,23329,22826,23811,20487,19206,23997,285491,26040,18337,21436,23374,23844,22740,25279,24404,22943,26495,21005,29594,303316,28024,23591,22433,23573,25697,24966,26733,25861,27057,23142,21754,30485,288947,23651,22935,22699,23521,25221,24448,24399,25398,26069,22842,21428,26336,226116,30036,17725,14727,16207,19655,19269,19596,20207,17175,19500,16609,15410,226178,15932,16817,17297,17068,18844,19899,20100,20749,23939,21477,17408,16648,232393,18362,16105,17100,16771,18985,18669,21154,22772,21618,20104,19125,21628
"Jeju",144910,12435,11503,11475,11249,12912,12042,12300,13237,12833,12095,11045,11784,151225,12494,12252,13464,12582,14202,10648,12155,13939,13516,12675,11191,12107,171067,11384,13807,14103,13621,14577,14580,15597,16756,15016,13779,12232,15615,171776,15092,10507,12525,14225,15383,14423,15962,15813,14363,15572,12565,15346,173082,15933,11803,12826,14099,15286,14721,15031,15799,16333,13532,12778,14941,167548,13512,12205,12785,14248,15338,14409,14260,15579,14726,13929,12510,14047,131078,15024,9746,8596,9030,11001,11361,12027,12947,10387,11609,10055,9295,132921,8796,9131,10053,9948,11247,11334,12042,12851,12892,13125,11090,10412,139716,10923,10013,11002,10710,11746,12113,13363,13796,12188,12027,10438,11397
