"Ulsan",82502,61974,60190,7,-,790,770,217,302,64,4,119,64,51,-,19685,15844,2702,464,674,1,499,14,19,93,79,5,2,283,4,7,35,81219,60216,58775,2,1,772,629,37,269,50,1,119,55,44,-,20001,15778,2846,544,833,-,718,15,34,147,64,4,-,414,40,9,6,84090,62378,60950,-,-,885,503,40,339,61,4,192,38,44,-,20663,16070,3184,500,909,-,704,6,26,253,86,3,1,329,-,6,-,82288,60567,59088,4,2,959,511,3,334,37,5,206,48,38,-,20678,16018,2996,591,962,111,696,3,23,210,118,8,5,301,25,3,13,-,68075,49286,48151,5,1,657,472,-,356,37,2,215,55,47,-,17786,13579,2776,428,976,27,628,3,27,125,120,14,2,323,14,-,19,-,70860,51798,47773,-,3,686,443,2893,416,34,7,265,51,59,-,17957,13760,2740,481,943,33,668,11,27,111,141,15,5,335,14,9,21,-,69301,49587,45780,-,1,604,584,2618,360,27,3,219,49,62,-,18483,14159,2745,470,932,177,847,2,17,136,151,20,32,364,92,33,24,-
"Sejong",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10006,8006,7919,2,1,67,17,-,29,4,-,21,2,2,-,1844,1404,136,118,67,119,122,-,11,32,43,-,-,28,1,7,5,-,27538,22130,21969,-,-,144,17,-,132,34,1,84,8,5,-,5073,3978,377,319,122,277,193,2,20,64,67,-,-,31,-,9,10,-,32364,25916,25780,-,3,110,23,-,161,56,4,82,4,15,-,6089,4981,381,346,117,264,190,-,29,55,47,1,2,37,2,17,8,-
"Gyeonggi",1355595,1077285,1021243,298,35,30324,10422,14963,7026,2962,382,2549,548,568,17,247388,200708,31495,9164,5792,229,13474,984,913,1834,3206,327,326,5636,248,2422,8000,1314645,1040546,988964,294,46,29836,11217,10189,6591,2572,253,2628,576,552,10,249748,201183,31626,9516,6870,553,14022,906,1021,1757,3485,410,313,5906,224,2557,1181,1376578,1091914,1039297,372,41,32026,12209,7969,6833,2327,214,2973,767,546,6,259819,210761,32442,8664,7328,624,15044,1283,1453,2123,3440,310,362,5885,188,2710,258,1488891,1173422,1119412,247,32,32680,13961,7090,7039,1941,228,3535,759,565,11,286867,231874,35945,9230,8567,1251,17349,1369,1391,2443,4551,259,220,6175,810,131,3086,1128,1093766,838993,789973,189,58,23442,9799,15532,7037,1361,304,3936,763,669,4,230541,180614,33357,7927,7816,827,12171,829,770,1975,2885,235,214,4513,561,189,4898,126,1146462,873582,783260,117,64,23749,8154,58238,7155,1047,275,4207,746,875,5,249658,197939,33355,9137,8424,803,12880,1270,703,1645,2737,175,286,4810,602,652,3099,88,1188655,909045,834757,148,62,21744,7519,44815,7087,733,258,4471,706,914,5,256240,203182,33317,9255,7847,2639,13710,1705,725,2154,3097,329,413,3824,476,987,2487,86
"Gangwon",192048,141930,137219,51,31,2490,960,1179,1776,833,158,574,104,78,29,43350,33476,6804,1663,1406,1,4051,49,34,711,600,71,27,2518,41,123,818,202152,147928,143309,122,34,2419,1115,929,1852,883,126,629,111,87,16,49042,37687,7693,1977,1685,-,3102,45,34,604,728,48,49,1560,34,119,109,211381,156481,151989,24,18,2658,1392,400,1926,905,181,586,128,126,-,49701,38856,7313,1944,1588,-,3079,29,69,350,902,78,68,1563,20,123,71,211083,153911,149110,23,8,3147,1202,421,1927,888,178,620,126,115,-,51387,40258,8159,1593,1373,4,2934,45,64,469,841,97,29,1207,167,15,129,795,177957,127024,123672,9,10,2351,771,211,2086,1026,172,674,105,109,-,45891,35558,7571,1460,1285,17,2816,19,69,434,993,111,18,1075,82,15,119,21,178243,128660,124104,40,8,2734,729,1045,2206,1016,169,702,134,185,-,44283,33827,7344,1529,1394,189,2913,47,50,432,937,57,35,1200,97,58,135,46,190380,139155,131611,19,23,3416,783,3303,2373,1020,171,719,180,283,-,45403,34976,6751,1563,1360,753,3279,77,70,427,1132,149,35,1104,89,196,133,37
"Chungbook",122280,92141,80753,7,3,2314,999,8065,957,305,145,387,64,48,8,25757,20726,3568,909,549,5,2323,29,108,254,676,48,22,1138,48,617,485,120014,89920,79751,25,1,2256,1015,6872,1068,445,132,370,72,43,6,26198,21261,3294,936,705,2,2500,20,276,245,747,19,9,1134,50,130,198,124053,93798,88857,22,2,2436,1047,1434,1144,506,95,430,74,36,3,26288,20834,3506,954,994,-,2341,41,165,305,672,120,14,988,36,260,222,156992,115868,111362,17,2,2501,1627,359,1525,751,99,539,71,64,1,35978,28828,4548,1222,1377,3,2979,64,92,373,931,132,6,1164,196,21,394,248,120027,85702,82502,21,2,1562,1312,303,1748,943,92,526,88,99,-,30158,23480,4424,1093,1161,-,2014,48,86,219,726,41,14,754,116,10,277,128,128447,94435,90892,39,6,1565,1242,691,1831,941,89,586,104,110,1,29807,23074,4977,757,998,1,2079,35,55,286,820,9,6,736,116,16,148,147,134069,98212,94748,35,9,1786,1080,554,2162,1217,74,625,100,145,1,31138,24227,5196,715,916,84,2209,50,42,325,1041,5,4,566,102,74,141,207
"Chungnaam",283273,227207,218193,68,3,3422,3944,1577,1457,530,154,548,131,92,2,47510,38693,6262,1328,1205,22,5918,202,80,434,2102,48,34,2619,399,828,353,269894,214001,206180,53,25,3242,3934,567,1443,501,118,575,141,106,2,47246,38246,6484,1365,1145,6,6626,191,214,725,2553,22,22,2489,410,431,147,277642,219721,211285,20,12,3887,4211,306,1517,541,110,636,149,81,-,49663,40573,6379,1393,1315,3,6290,224,312,680,2828,8,22,2009,207,402,49,273457,214194,206134,11,5,4399,3482,163,1447,519,74,670,94,90,-,50933,41314,6569,1381,1379,290,6389,205,203,549,3675,9,9,1666,39,34,459,35,209273,160608,154236,6,13,3341,2526,486,1609,502,78,747,138,144,-,39409,31142,5484,1170,1413,200,4956,142,91,258,2977,7,17,1270,42,152,2655,36,226212,178740,165066,6,38,3562,2617,7451,1687,502,64,805,146,170,-,39448,30763,5583,1358,1594,150,5221,129,107,298,2980,17,10,1186,67,427,1063,53,247204,196496,180387,7,35,3737,2908,9422,1863,583,61,857,152,209,1,42968,33774,6198,1200,1453,343,5587,147,127,458,3293,2,12,1124,49,375,232,58
"Jeonbook",215054,150732,141579,208,28,4866,925,3126,1478,399,48,420,299,308,4,55801,45510,6358,2936,992,5,5393,34,14,328,1379,373,164,2875,226,839,811,248885,179617,170263,241,50,4492,1452,3119,1564,391,66,487,276,334,10,60221,49561,6064,3458,1135,3,5733,40,26,364,1972,338,197,2511,285,905,845,233274,166655,158271,294,37,4339,851,2863,1400,404,36,451,290,211,8,59633,48956,6169,3228,1277,3,4299,21,45,310,1464,335,41,1858,225,1239,48,271530,195234,186815,315,40,5107,1703,1254,1585,486,49,532,288,209,21,65231,54519,6193,3142,1376,1,4900,39,34,417,2498,234,21,1233,151,273,2705,1875,232001,163683,155975,234,33,3567,1180,2694,1484,395,57,598,225,207,2,58303,47468,6171,3015,1645,4,4333,66,24,380,2300,156,10,860,185,352,2861,1337,222777,154868,141548,256,37,3725,1044,8258,1702,403,72,687,259,280,1,56816,46441,5399,3463,1513,-,4193,52,22,332,1990,149,8,703,156,781,3072,2126,245769,173938,160109,210,60,4046,1139,8374,1804,399,61,738,280,324,2,61578,51017,5960,3185,1413,3,4568,191,42,344,2437,180,7,784,161,422,2339,1542
"Jeonnaam",107974,77169,59691,65,35,590,2933,13855,688,269,79,217,67,55,1,26101,19740,4202,944,1214,1,3289,55,21,336,610,73,189,1615,390,18,709,110773,77776,64060,47,57,568,2630,10414,778,244,90,270,88,85,1,28219,21036,4601,1052,1525,5,2981,65,42,605,595,51,185,1220,218,14,1005,115365,81237,76138,58,42,535,2644,1820,816,274,66,313,71,90,2,29620,22131,4769,1076,1644,-,3524,101,46,738,716,85,134,1617,87,33,135,115038,81017,75021,67,67,548,3152,2162,859,281,76,326,83,90,3,29156,21761,4752,1131,1512,-,3797,75,33,1022,842,26,49,1353,319,78,38,171,105867,72740,67684,54,60,606,2416,1920,942,315,72,368,83,102,2,28056,20457,4945,1099,1551,4,3202,38,10,906,657,10,41,1183,302,55,833,94,103722,71569,64226,41,29,692,2266,4315,923,312,63,361,85,96,6,27313,19512,5047,1120,1633,1,2843,24,9,729,621,10,25,1107,263,55,971,103,100842,70772,65685,22,29,682,2018,2336,999,346,57,340,108,147,1,25800,18552,4781,1104,1346,17,2730,28,18,750,569,3,26,1076,196,64,422,119
"Gyeongbook",267845,207871,176188,25,37,6980,6020,18621,1686,863,60,468,190,102,3,54027,42701,8097,1763,1457,9,3532,28,119,278,1459,-,31,1532,85,416,313,259858,198779,181596,27,10,7011,6182,3953,1592,750,81,578,112,69,2,55276,43191,8646,1644,1793,2,3655,22,90,501,1141,5,85,1699,112,350,206,265999,204537,189847,23,10,7425,6894,338,1701,719,112,691,119,59,1,55508,42412,9421,1732,1933,10,3872,16,89,759,1074,3,145,1493,293,335,46,257419,197487,184160,31,11,6357,6886,42,1623,655,85,665,137,81,-,53882,40559,9425,1812,2034,52,4081,31,151,833,1345,3,17,1408,163,130,315,31,195905,146554,133887,9,3,4028,4901,3726,1838,652,105,740,172,141,28,44030,31946,8637,1603,1810,34,3140,8,103,577,1180,-,10,948,96,218,328,15,209135,157609,140030,15,4,4308,4803,8449,1937,758,53,778,173,139,36,45762,33670,8420,1767,1891,14,3565,10,85,549,1238,2,8,1214,112,347,245,17,223385,172772,155436,8,5,5067,4763,7493,2052,812,50,848,167,175,-,44611,32745,8409,1666,1667,124,3614,28,104,621,1352,2,13,1187,66,241,319,17
"Gyeongnaam",259531,199652,190583,80,99,3819,3267,1804,1423,231,101,511,214,262,104,51272,42393,5123,2580,1161,15,5334,292,39,453,1115,465,207,2548,215,159,1691,273698,205159,195943,83,61,4136,2946,1990,1369,167,68,552,222,248,112,61172,50364,5944,3293,1570,1,5267,139,44,568,968,360,281,2623,284,104,627,287029,214421,205407,102,46,4141,2873,1852,1541,119,31,723,279,261,128,65342,53725,6366,3312,1911,28,5403,177,52,629,874,426,314,2612,319,141,181,273035,201379,192924,41,26,3477,3053,1858,1472,101,34,728,248,330,31,64381,51709,6305,3438,2354,575,5560,107,91,531,912,589,199,2341,630,160,223,20,213356,150587,144330,27,23,3062,1820,1325,1562,93,33,804,240,390,2,57053,44879,6349,3103,2252,470,3997,67,52,340,700,396,162,1822,371,87,146,11,217151,152955,146807,19,16,3406,1820,887,1665,90,35,809,286,444,1,58376,45552,6657,3474,2282,411,3919,93,56,400,649,249,173,1866,342,91,119,117,225457,159926,153536,23,12,3140,1677,1538,1802,77,30,909,289,493,4,60168,47602,6928,3277,2048,313,3432,82,31,429,599,221,166,1452,360,92,108,21
