"Area","Gender",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"Area","Gender",Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown
"Area","Gender",Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal
"Daegu","Men",106003,68337,59355,34,22,4742,19,4165,1367,416,342,597,12,32165,25174,4693,1447,750,101,2519,64,13,111,523,172,1422,28,186,673,942,102425,66208,59299,11,25,4253,12,2608,1296,315,359,612,10,30902,23843,4701,1570,750,38,2375,33,37,99,27,124,15,1851,189,807,837
"Daegu","Women",85951,57213,49824,19,18,4210,16,3126,908,286,267,352,3,24748,20072,3074,1064,466,72,1687,48,15,83,156,114,1142,16,113,389,1006,87205,59001,53082,15,21,3840,11,2032,786,211,242,328,5,24391,19474,3223,1151,493,50,1829,45,14,64,29,122,8,1402,145,384,814
"Incheon","Men+Women",297091,236534,205958,48,1,6340,2458,21729,1293,777,74,425,17,53003,42970,7885,1305,757,86,1749,34,59,111,573,5,898,1,68,893,3619,294426,232919,205082,37,3,4926,2023,20848,1436,836,111,479,10,53867,43887,7908,1214,848,10,1890,82,60,151,480,13,4,1010,90,643,3671
"Incheon","Men",154374,121888,104393,25,1,3833,1292,12344,783,449,51,272,11,28294,22273,4731,784,458,48,1031,12,32,65,355,2,524,1,40,409,1969,152525,119400,103607,23,2,2905,984,11879,833,467,71,289,6,28774,22699,4757,773,540,5,1177,42,34,94,298,5,2,646,56,297,2044
"Incheon","Women",142717,114646,101565,23,0,2507,1166,9385,510,328,23,153,6,24709,20697,3154,521,299,38,718,22,27,46,218,3,374,0,28,484,1650,141901,113519,101475,14,1,2021,1039,8969,603,369,40,190,4,25093,21188,3151,441,308,5,713,40,26,57,182,8,2,364,34,346,1627
"Gwangju","Men+Women",109167,69028,61572,123,4,1130,40,6159,739,252,235,236,16,29182,22371,4866,1468,461,16,4014,76,26,276,403,272,2577,68,316,2333,3871,124595,81684,75545,82,1,1077,164,4815,687,207,239,228,13,31800,24571,5237,1484,487,21,4219,49,7,41,511,143,86,2976,406,2451,3754
"Gwangju","Men",60512,37684,33377,72,1,618,25,3591,475,168,148,149,10,16577,12440,2894,969,263,11,2353,40,17,166,249,159,1512,25,185,1237,2186,69030,44651,41119,48,1,658,87,2738,429,135,149,136,9,18021,13621,3139,943,306,12,2490,27,4,26,307,78,50,1745,253,1294,2145
"Gwangju","Women",48655,31344,28195,51,3,512,15,2568,264,84,87,87,6,12605,9931,1972,499,198,5,1661,36,9,110,154,113,1065,43,131,1096,1685,55565,37033,34426,34,0,419,77,2077,258,72,90,92,4,13779,10950,2098,541,181,9,1729,22,3,15,204,65,36,1231,153,1157,1609
"Daejeon","Men+Women",191965,142863,130066,73,15,6554,874,5281,1030,693,79,251,7,46597,37699,7341,1138,415,4,757,42,39,229,80,12,311,3,41,686,32,196461,145386,131554,80,20,6631,842,6259,977,620,85,271,1,48309,39569,7212,1082,443,3,614,19,53,167,49,6,3,262,55,1140,35
"Daejeon","Men",101973,75413,68373,39,9,3613,466,2913,587,371,52,159,5,25127,19843,4369,651,262,2,441,21,25,140,50,6,173,2,24,391,14,104439,76758,69275,39,9,3524,445,3466,551,327,61,162,1,26171,20953,4309,631,278,0,361,9,25,103,26,3,1,163,31,584,14
"Daejeon","Women",89992,67450,61693,34,6,2941,408,2368,443,322,27,92,2,21470,17856,2972,487,153,2,316,21,14,89,30,6,138,1,17,295,18,92022,68628,62279,41,11,3107,397,2793,426,293,24,109,0,22138,18616,2903,451,165,3,253,10,28,64,23,3,2,99,24,556,21
"Ulsan","Men+Women",74999,55687,52523,1,0,1207,1097,859,284,110,27,147,0,15853,12636,2391,594,231,1,494,16,28,150,36,0,251,1,12,2681,0,75298,54869,51620,3,1,1269,872,1104,321,120,24,176,1,17052,13471,2783,523,275,0,360,11,12,106,35,1,0,186,9,2695,1
