year,month,composition_rate,supply_unit,women_unit,men_unit,demand_unit,demand_patients,supply_ratio,supply_demand_diff,Busan,Chungbuk,Daegu/Gyeongbuk,Daejeon/Chungnam,Gangwon,Gyeonggi,Gyeongnam,Incheon,Jeju,Jeonbuk,Jeonnam,Seoul,Ulsan,fall,spring,summer,winter,city,city_local_cnt,national_cnt,local_cnt,national_colab_government,colab_government,national_colab_celebrity,colab_celebrity,national_colab_corporation,colab_corporation,national_colab_university,colab_university,national_colab_hospital,colab_hospital,national_colab_community,colab_community,national_colab_media,colab_media,national_type_public event,type_public event,national_type_competition,type_competition,national_type_broadcast campaigns,type_broadcast campaigns,national_type_policy reform,type_policy reform,national_type_infrastructure improvement,type_infrastructure improvement,national_type_conference,type_conference,national_type_corporation event,type_corporation event,national_type_community event,type_community event,national_type_partnership,type_partnership,national_type_internal event,type_internal event,national_type_government event,type_government event,national_target_citizen,target_citizen,national_target_teenagers,target_teenagers,national_target_institutions,target_institutions,national_target_blood donors,target_blood donors,national_target_corporations,target_corporations,national_target_university,target_university,national_target_hospital,target_hospital,national_target_community,target_community,national_target_government,target_government,national_duration_single day,duration_single day,national_duration_months long,duration_months long,national_duration_ongoing,duration_ongoing,national_duration_multi day,duration_multi day,national_size_national,size_national,national_size_international,size_international,national_size_local,size_local,national_freq_ad hoc,freq_ad hoc,national_freq_yearly,freq_yearly,national_freq_monthly,freq_monthly
2006,8,8.0,17007.0,3829.0,13178.0,14874.88383397976,5901,2.8820538891713268,11106.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Busan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,9,8.3,17539.0,4109.0,13430.0,13120.879802455536,5077,3.454599172739807,12462.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,8.5,16159.0,4044.0,12115.0,17905.781661685425,7260,2.2257575757575756,8899.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Busan,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2007,10,8.4,15854.0,2990.0,12864.0,15402.640128205836,5970,2.655611390284757,9884.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
2007,11,8.5,16180.0,4256.0,11924.0,14223.870145396688,5543,2.9189969330687355,10637.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2007,12,8.2,15465.0,4413.0,11052.0,13947.933046709168,5522,2.8006157189424123,9943.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Busan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2007,2,7.4,14027.0,4153.0,9874.0,14367.513388347976,5662,2.4773931472977746,8365.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Busan,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2007,3,7.6,14383.0,3277.0,11106.0,15779.438080803002,6187,2.32471310812995,8196.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Busan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2007,4,7.9,14981.0,2476.0,12505.0,14677.418068218063,5784,2.590076071922545,9197.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Busan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2007,5,10.4,19636.0,2963.0,16673.0,15234.333052795882,5989,3.2786775755551845,13647.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Busan,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2007,6,9.0,17092.0,3633.0,13459.0,14499.269451841195,5671,3.0139305237171574,11421.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Busan,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2007,7,8.9,16845.0,3603.0,13242.0,15924.307300395296,6287,2.6793383171623986,10558.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Busan,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2007,8,7.7,14674.0,3067.0,11607.0,16438.70858551682,6419,2.2860258607259696,8255.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Busan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,9,7.6,14327.0,3023.0,11304.0,13653.23079504063,5167,2.772788852332108,9160.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2008,1,8.1,16996.0,3820.0,13176.0,18225.508596357624,7378,2.3036053130929792,9618.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Busan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,10,8.4,17710.0,4562.0,13148.0,12653.479527711104,4861,3.643283275046287,12849.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,11,9.8,20643.0,5269.0,15374.0,13420.21319436651,5340,3.8657303370786518,15303.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,12,9.1,19175.0,5898.0,13277.0,14055.788414437806,5642,3.3986175115207375,13533.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Busan,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2008,2,6.6,13844.0,3834.0,10010.0,14274.042317541072,5623,2.4620309443357637,8221.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Busan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,7.5,15875.0,4014.0,11861.0,15478.26936256901,6127,2.590990696915293,9748.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Busan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,8.5,17866.0,4099.0,13767.0,14462.220930521866,5723,3.121789271361174,12143.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Busan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,5,9.3,19583.0,4097.0,15486.0,14457.429689315652,5716,3.425997200839748,13867.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Busan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2008,6,7.8,16490.0,3975.0,12515.0,14934.303368220091,5965,2.7644593461860856,10525.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Busan,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2008,7,8.2,17222.0,4395.0,12827.0,16182.259366884358,6520,2.6414110429447852,10702.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Busan,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2008,8,8.1,16992.0,4418.0,12574.0,15109.308074811755,6044,2.811383189940437,10948.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Busan,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2008,9,8.5,17873.0,4477.0,13396.0,14286.408127078555,5575,3.2059192825112106,12298.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,7.2,15569.0,4089.0,11480.0,17646.7880777884,7083,2.1980799096428068,8486.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Busan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,10,7.7,16659.0,4145.0,12514.0,15790.096298409026,6238,2.6705674895799936,10421.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Busan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
