"Gender","Location","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Group Donation","Daegu/Gyeongbook","Donation Count[Unit]","Unit","108194","95203","78690","86059","84630","78656","78586","88373","90404","89930","82818","85245","83547","79745","70360","41089","53149","56708","61149",
"Men+Women","Group Donation","Daegu/Gyeongbook","Composition Rate[%]","%","55.7","50.4","50","45.8","39.3","36.9","37.1","39","36.9","34.1","31.8","36","34.7","32.4","30.3","20.9","23.6","25.2","26.6",
"Men+Women","Group Donation","Incheon","Donation Count[Unit]","Unit","62632","56565","42089","49010","42900","47106","53120","50455","47111","47824","42781","46217","48240","40795","44065","32280","27681","28452","29942",
"Men+Women","Group Donation","Incheon","Composition Rate[%]","%","48.5","46.8","38.2","40.2","32.8","30.5","30.4","29.1","26.5","25.7","23.7","28.6","29.5","25.9","27.8","19.6","16.6","16.7","16.9",
"Men+Women","Group Donation","Ulsan","Donation Count[Unit]","Unit","38205","33650","31410","32937","33667","32586","31839","34139","32907","34262","34927","34836","33482","31374","34826","27912","27786","27722","28580",
"Men+Women","Group Donation","Ulsan","Composition Rate[%]","%","48.5","41","48","46.2","45.5","43.9","43.3","43.2","40.5","38.3","37.3","39.9","38.8","36.2","38","33.8","33.3","31.8","28.8",
"Men+Women","Group Donation","Gyeonggi","Donation Count[Unit]","Unit","70503","68307","59738","65237","60819","59292","58872","57066","61349","67664","67408","71359","72313","59977","63691","52897","44700","44817","47684",
"Men+Women","Group Donation","Gyeonggi","Composition Rate[%]","%","51","48.2","46.3","46.1","36.9","34.6","33.3","32.5","32.1","32.8","30.8","34.8","34.3","29.4","30.2","23.4","19.8","20.7","21.2",
"Men+Women","Group Donation","Gangwon","Donation Count[Unit]","Unit","65194","55935","45874","49664","50857","51770","56611","66478","70796","71827","77204","83645","86520","91438","84589","71802","67139","56530","62488",
"Men+Women","Group Donation","Gangwon","Composition Rate[%]","%","78.4","73","71","67.8","63.8","61.9","61.3","61.4","58.8","56.1","51.5","55.8","55.8","56.7","55.1","51","50","45.3","47",
"Men+Women","Group Donation","Chungbook","Donation Count[Unit]","Unit","42444","40971","39061","47414","48776","44108","36702","42056","39799","40565","40008","39476","40270","39416","43708","34894","34594","33757","35321",
"Men+Women","Group Donation","Chungbook","Composition Rate[%]","%","54.9","51.9","53.7","55.8","49","43.6","40.2","42","40.6","40.5","40.2","44.2","42.1","42","46.4","40.7","40.9","40.3","41.3",
"Men+Women","Group Donation","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","115206","90816","87785","98341","90362","92901","81835","83046","92812","92270","95818","94940","88179","93742","92857","72398","70072","68792","71530",
"Men+Women","Group Donation","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","71.4","61.8","59.9","56.8","49.4","48.4","43.1","40.3","41.4","39.8","38.5","40.1","36.6","37.8","37.3","30.3","30","29","30.5",
"Men+Women","Group Donation","Jeonbook","Donation Count[Unit]","Unit","66983","59968","48629","52708","56526","57411","52361","54243","55386","48314","52820","53933","51646","51098","48261","37785","39971","35081","36945",
"Men+Women","Group Donation","Jeonbook","Composition Rate[%]","%","55.4","50.6","49.5","48.9","46.6","46","41.7","42.4","42.1","38.5","41","46.5","45.2","47.1","44.3","36.8","38.8","36.2","36.9",
"Men+Women","Group Donation","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","98420","82689","75946","81237","78604","76052","72299","69148","72736","67555","59319","63231","68924","61765","63796","43405","48960","44527","48225",
"Men+Women","Group Donation","Gwangju/Jeonnaam","Composition Rate[%]","%","56.5","41.4","42.7","41.7","38.9","38.3","37.5","37.2","35.3","31","26.8","31.3","31.3","29.9","30.9","23.7","26.4","23.5","25.5",
"Men+Women","Group Donation","Gyeongnaam","Donation Count[Unit]","Unit","68501","63424","56361","58847","61769","60213","55022","59249","59996","63995","57057","56406","56772","59008","59557","48577","43490","40930","48918",
"Men+Women","Group Donation","Gyeongnaam","Composition Rate[%]","%","68.1","61.8","61.4","57.7","53.9","50.4","48.1","49.3","44.5","44.7","42","44.2","43.5","43.8","44.8","37.1","34.9","33.2","37.9",
"Men+Women","Group Donation","Jeju","Donation Count[Unit]","Unit","20086","20184","18652","17047","15925","14462","14287","13384","12938","15009","15838","15744","15585","14793","14459","12818","12761","12976","14208",
"Men+Women","Group Donation","Jeju","Composition Rate[%]","%","63.4","67.8","67.7","52.4","43.1","37.6","41.8","42","37.7","40.1","38.9","44","41.2","43.2","40.2","30.8","30.4","31.1","30.2",
"Men+Women","Group Donation","Outside of Korean Red Cross","Donation Count[Unit]","Unit","0","0","0","0","33919","35803","35635","39957","39750","36169","35925","35726","36312","29304","25024","14743","20311","31575","42637",
"Men+Women","Group Donation","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","31.4","23.9","21.2","22.2","19.3","17.3","17","16.2","17","14.5","14.1","8.4","11.4","15.5","18.2",
"Men+Women","Highschool","Total","Donation Count[Unit]","Unit","293838","321625","308519","337228","300864","374154","373101","369828","379377","374342","340753","364468","354872","332057","327935","96432","136319","154586","195403",
