"Gender","Location","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Personal Participation","Jeju","Composition Rate[%]","%","36.6","32.2","32.3","47.6","56.9","62.4","58.2","58","62.3","59.9","61.1","56","58.8","56.8","59.8","69.2","69.6","68.9","69.8",
"Men+Women","Personal Participation","Outside of Korean Red Cross","Donation Count[Unit]","Unit","50700","51939","59078","81592","74155","113990","132424","140156","166560","172718","174837","185423","177539","172355","152167","161448","157347","172429","192208",
"Men+Women","Personal Participation","Outside of Korean Red Cross","Composition Rate[%]","%","100","100","100","100","68.6","76.1","78.8","77.8","80.7","82.7","83","83.8","83","85.5","85.9","91.6","88.6","84.5","81.8",
"Men+Women","In Hospital","Total","Donation Count[Unit]","Unit","83780","88374","92933","111771","40491","39583","36127","36886","36901","39675","42034","42198","42426","42720","41909","48111","50176","49725","49449",
"Men+Women","In Hospital","Total","Composition Rate[%]","%","3.7","3.8","4.5","4.8","1.6","1.5","1.4","1.4","1.3","1.3","1.4","1.5","1.4","1.5","1.5","1.8","1.9","1.9","1.8",
"Men+Women","In Hospital","Korean Red Cross","Donation Count[Unit]","Unit","33080","36435","33855","30179","30714","31712","30552","32066","32575","34861","37399","37275","38635","39509","39490","46193","48373","48123","48330",
"Men+Women","In Hospital","Korean Red Cross","Composition Rate[%]","%","1.5","1.6","1.7","1.3","1.2","1.3","1.2","1.3","1.2","1.2","1.3","1.4","1.4","1.5","1.5","1.9","2","2","1.9",
"Men+Women","In Hospital","Central Seoul","Donation Count[Unit]","Unit","2127","1500","1717","2462","3092","4662","","","","","","","","5787","5246","4841","4869","4574","4660",
"Men+Women","In Hospital","Central Seoul","Composition Rate[%]","%","1",".7",".9","1.2","1.5","1.9","","","","","","","","2.2","2.1","2.2","2.2","2","2",
"Men+Women","In Hospital","Western Seoul","Donation Count[Unit]","Unit","1527","1887","1926","1914","2107","963","5225","5425","5695","6170","6433","5641","5539","","","","","","",
"Men+Women","In Hospital","Western Seoul","Composition Rate[%]","%","1.1","1.4","1.2","1.1","1.1","1.1","1.9","1.9","1.9","1.8","1.9","1.9","2","","","","","","",
"Men+Women","In Hospital","Southern Seoul","Donation Count[Unit]","Unit","2246","1962","1470","1425","1719","1583","1930","3250","3719","3706","3031","2988","3416","3775","3852","3833","4130","4165","4614",
"Men+Women","In Hospital","Southern Seoul","Composition Rate[%]","%","1.2","1",".9",".8",".8",".7",".9","1.4","1.6","1.6","1.4","1.3","1.4","1.6","1.8","2","2.3","2.3","2.4",
"Men+Women","In Hospital","Eastern Seoul","Donation Count[Unit]","Unit","5813","6856","6007","5212","5331","5314","5371","5452","5573","6297","6043","5809","5003","4715","5292","4991","5023","5827","6612",
"Men+Women","In Hospital","Eastern Seoul","Composition Rate[%]","%","3","3.4","3.3","2.6","2.5","2.1","2","2","1.9","2","2","2.1","1.8","1.7","2","2.2","2.2","2.4","2.6",
"Men+Women","In Hospital","Busan","Donation Count[Unit]","Unit","798","856","817","758","793","830","800","832","834","727","828","923","1032","933","1018","1624","1785","1963","1870",
"Men+Women","In Hospital","Busan","Composition Rate[%]","%",".4",".4",".4",".4",".4",".4",".4",".4",".4",".3",".3",".5",".5",".4",".5",".8",".9","1",".9",
"Men+Women","In Hospital","Daegu/Gyeongbook","Donation Count[Unit]","Unit","2255","2068","1869","1874","1968","1980","1951","1838","1814","2042","2510","2426","3011","3215","3307","3569","3023","2770","2522",
"Men+Women","In Hospital","Daegu/Gyeongbook","Composition Rate[%]","%","1.2","1.1","1.2","1",".9",".9",".9",".8",".7",".8","1","1","1.3","1.3","1.4","1.8","1.3","1.2","1.1",
"Men+Women","In Hospital","Incheon","Donation Count[Unit]","Unit","3469","3964","4039","3685","4410","4653","4848","4693","5064","5068","5244","4601","4439","4827","4566","6769","7785","5802","4735",
"Men+Women","In Hospital","Incheon","Composition Rate[%]","%","2.7","3.3","3.7","3","3.4","3","2.8","2.7","2.8","2.7","2.9","2.8","2.7","3.1","2.9","4.1","4.7","3.4","2.7",
"Men+Women","In Hospital","Ulsan","Donation Count[Unit]","Unit","356","484","382","531","499","468","399","361","452","447","554","693","673","809","1182","1740","2075","2253","2070",
"Men+Women","In Hospital","Ulsan","Composition Rate[%]","%",".5",".6",".6",".7",".7",".6",".5",".5",".6",".5",".6",".8",".8",".9","1.3","2.1","2.5","2.6","2.1",
"Men+Women","In Hospital","Gyeonggi","Donation Count[Unit]","Unit","3424","4018","4191","4678","4774","5179","4918","5171","5249","5527","6657","7046","7339","6694","5729","6041","4388","3638","3963",
"Men+Women","In Hospital","Gyeonggi","Composition Rate[%]","%","2.5","2.8","3.2","3.3","2.9","3","2.8","2.9","2.7","2.7","3","3.4","3.5","3.3","2.7","2.7","1.9","1.7","1.8",
"Men+Women","In Hospital","Gangwon","Donation Count[Unit]","Unit","992","1789","1071","903","1141","1201","1251","1390","1685","1430","1413","1766","2062","2720","2812","3880","3644","3732","3564",
"Men+Women","In Hospital","Gangwon","Composition Rate[%]","%","1.2","2.3","1.7","1.2","1.4","1.4","1.4","1.3","1.4","1.1",".9","1.2","1.3","1.7","1.8","2.8","2.7","3","2.7",
"Men+Women","In Hospital","Chungbook","Donation Count[Unit]","Unit","392","377","520","568","279","377","361","412","443","500","570","688","756","733","812","1177","1686","1884","1498",
"Men+Women","In Hospital","Chungbook","Composition Rate[%]","%",".5",".5",".7",".7",".3",".4",".4",".4",".5",".5",".6",".8",".8",".8",".9","1.4","2","2.2","1.8",
"Men+Women","In Hospital","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","1898","2054","2102","2302","2398","2534","2025","2024","962","1336","1755","1906","1972","1864","1732","1774","1851","1845","1811",
"Men+Women","In Hospital","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","1.2","1.4","1.4","1.3","1.3","1.3","1.1","1",".4",".6",".7",".8",".8",".8",".7",".7",".8",".8",".8",
"Men+Women","In Hospital","Jeonbook","Donation Count[Unit]","Unit","607","781","653","719","683","752","530","490","374","438","480","576","624","728","777","1003","1315","1684","2017",
"Men+Women","In Hospital","Jeonbook","Composition Rate[%]","%",".5",".7",".7",".7",".6",".6",".4",".4",".3",".3",".4",".5",".5",".7",".7","1","1.3","1.7","2",
"Men+Women","In Hospital","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","176","235","233","198","277","248","223","222","210","139","150","186","160","186","272","507","1268","1826","2149",
"Men+Women","In Hospital","Gwangju/Jeonnaam","Composition Rate[%]","%",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".1",".3",".7","1","1.1",
"Men+Women","In Hospital","Gyeongnaam","Donation Count[Unit]","Unit","6547","7057","6378","2475","839","709","548","473","327","282","363","611","922","1005","1088","1310","1355","1875","1990",
"Men+Women","In Hospital","Gyeongnaam","Composition Rate[%]","%","6.5","6.9","7","2.4",".7",".6",".5",".4",".2",".2",".3",".5",".7",".7",".8","1","1.1","1.5","1.5",
"Men+Women","In Hospital","Jeju","Donation Count[Unit]","Unit","453","547","480","475","404","259","172","33","174","752","1368","1415","1687","1518","1805","3134","4176","4285","4255",
"Men+Women","In Hospital","Jeju","Composition Rate[%]","%","1.4","1.8","1.7","1.5","1.1",".7",".5",".1",".5","2","3.4","4","4.5","4.4","5","7.5","9.9","10.3","9",
"Men+Women","In Hospital","Outside of Korean Red Cross","Donation Count[Unit]","Unit","50700","51939","59078","81592","9777","7871","5575","4820","4326","4814","4635","4923","3791","3211","2419","1918","1803","1602","1119",
"Men+Women","In Hospital","Outside of Korean Red Cross","Composition Rate[%]","%","100","100","100","100","9","5.3","3.3","2.7","2.1","2.3","2.2","2.2","1.8","1.6","1.4","1.1","1",".8",".5",
"Men+Women","Blood donation house","Total","Donation Count[Unit]","Unit","835073","1018211","981188","1186353","1484893","1661601","1687095","1733690","1881881","2028948","2085798","1861069","1923185","1933318","1870399","1891782","1891074","1945313","2003932",
"Men+Women","Blood donation house","Total","Composition Rate[%]","%","36.7","44.2","47","50.5","57.8","62.4","64.5","63.7","64.6","66.4","67.7","64.9","65.7","67.1","67","72.4","72.6","73.4","72.2",
"Men+Women","Blood donation house","Korean Red Cross","Donation Count[Unit]","Unit","835073","1018211","981188","1186353","1427648","1561715","1568171","1605244","1727616","1864815","1918226","1684964","1753331","1766964","1723781","1741098","1742521","1781421","1818007",
"Men+Women","Blood donation house","Korean Red Cross","Composition Rate[%]","%","37.6","45.2","48.4","52.4","58","62.1","64","63.1","63.8","65.6","66.8","63.7","64.6","65.9","65.9","71.5","71.8","72.9","71.5",
"Men+Women","Blood donation house","Central Seoul","Donation Count[Unit]","Unit","76473","107018","107320","131954","141599","181281","","","","","","","","210214","195370","186115","179771","185096","188646",
"Men+Women","Blood donation house","Central Seoul","Composition Rate[%]","%","36.3","48.2","57.1","63.4","67.9","72.1","","","","","","","","78.9","77.8","83.8","83","82.8","80.5",
"Men+Women","Blood donation house","Western Seoul","Donation Count[Unit]","Unit","62177","69995","96253","110929","129991","68850","207256","208301","212912","235829","241757","212103","215152","","","","","","",
"Men+Women","Blood donation house","Western Seoul","Composition Rate[%]","%","46.5","50.5","62.1","64.9","67.3","76.7","76.3","73.6","70.4","70.4","72.8","72.8","77.6","","","","","","",
"Men+Women","Blood donation house","Southern Seoul","Donation Count[Unit]","Unit","74889","99412","96148","105817","134279","162004","160009","168853","169489","164319","163619","160693","165768","159811","150535","137175","131898","136667","142939",
"Men+Women","Blood donation house","Southern Seoul","Composition Rate[%]","%","41.4","52.4","55.6","56.5","64.4","73.6","73.4","73.7","72","71.6","73","70.7","67.2","69.3","70.1","72.1","74.8","75.2","72.8",
"Men+Women","Blood donation house","Eastern Seoul","Donation Count[Unit]","Unit","66198","88064","93655","111768","135972","172951","194519","196029","210339","228494","212855","186134","194796","200481","189658","173377","172481","183444","193280",
"Men+Women","Blood donation house","Eastern Seoul","Composition Rate[%]","%","33.9","43.9","51.5","56.4","63.8","69.5","73.4","71","71.2","72.5","71.3","68.1","69.6","71.8","73","74.8","74.8","77","75.6",
"Men+Women","Blood donation house","Busan","Donation Count[Unit]","Unit","112785","118969","109004","128377","142275","160187","151876","148107","165570","178001","179629","148780","155790","165904","160106","159427","155860","165317","160541",
"Men+Women","Blood donation house","Busan","Composition Rate[%]","%","52.9","56","57.5","61.1","65.6","68.6","70","67.7","71.7","75.5","75.5","72.6","72.4","74.2","75","80.8","80","81","78",
"Men+Women","Blood donation house","Daegu/Gyeongbook","Donation Count[Unit]","Unit","72526","84938","71816","95660","121981","126883","128381","134256","151232","171677","174845","149102","154211","163195","158814","151715","168644","165676","166044",
"Men+Women","Blood donation house","Daegu/Gyeongbook","Composition Rate[%]","%","37.4","45","45.6","50.9","56.6","59.5","60.6","59.2","61.8","65.1","67.2","62.9","64","66.3","68.3","77.3","74.8","73.6","72.3",
"Men+Women","Blood donation house","Incheon","Donation Count[Unit]","Unit","51068","54361","59369","63489","77007","99822","116503","117549","123288","132309","132284","110910","110157","111262","109761","125912","130964","133506","142141",
"Men+Women","Blood donation house","Incheon","Composition Rate[%]","%","39.5","44.9","53.9","52.1","58.8","64.7","66.6","67.8","69.3","71.2","73.1","68.6","67.4","70.7","69.3","76.3","78.5","78.2","80.4",
"Men+Women","Blood donation house","Ulsan","Donation Count[Unit]","Unit","34088","41081","28333","33666","36195","37923","38768","42072","44944","51370","57617","51794","52106","54528","55591","52866","53688","57144","68611",
"Men+Women","Blood donation house","Ulsan","Composition Rate[%]","%","43.3","50","43.3","47.2","49","51.1","52.7","53.2","55.3","57.5","61.5","59.3","60.4","62.9","60.7","64.1","64.3","65.6","69.1",
"Men+Women","Blood donation house","Gyeonggi","Donation Count[Unit]","Unit","49860","52476","52037","67778","97422","105309","112024","110838","123942","131785","143405","126862","131161","137241","141750","166964","176648","168352","173516",
"Men+Women","Blood donation house","Gyeonggi","Composition Rate[%]","%","36","37","40.3","47.9","59.1","61.5","63.4","63.1","64.8","63.9","65.6","61.8","62.2","67.3","67.1","73.9","78.3","77.7","77.1",
"Men+Women","Blood donation house","Gangwon","Donation Count[Unit]","Unit","16759","18637","17589","22627","27548","30299","34029","40184","47845","54670","71158","64435","66382","67201","66197","64981","63510","64604","66799",
"Men+Women","Blood donation house","Gangwon","Composition Rate[%]","%","20.2","24.3","27.2","30.9","34.5","36.2","36.9","37.1","39.7","42.7","47.5","43","42.8","41.6","43.1","46.2","47.3","51.7","50.3",
"Men+Women","Blood donation house","Chungbook","Donation Count[Unit]","Unit","34249","37299","29939","34706","50198","56724","54291","57629","57903","59126","59049","49178","54618","53659","49731","49677","48238","48178","48602",
"Men+Women","Blood donation house","Chungbook","Composition Rate[%]","%","44.3","47.2","41.1","40.9","50.5","56","59.4","57.6","59","59","59.3","55","57.1","57.2","52.8","57.9","57","57.5","56.9",
"Men+Women","Blood donation house","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","32855","43366","49597","70978","89935","96540","105877","121155","130276","136862","149439","139645","150961","152717","154189","164653","161491","166519","161262",
"Men+Women","Blood donation house","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","20.4","29.5","33.8","41","49.2","50.3","55.8","58.7","58.1","59","60","59","62.6","61.5","62","68.9","69.2","70.2","68.7",
"Men+Women","Blood donation house","Jeonbook","Donation Count[Unit]","Unit","52143","57740","42921","48169","57193","65983","72439","73079","73995","74803","73625","60195","60796","55824","58955","62072","59401","58863","60088",
"Men+Women","Blood donation house","Jeonbook","Composition Rate[%]","%","43.1","48.7","43.7","44.7","47.2","52.9","57.7","57.1","56.3","59.6","57.1","51.8","53.2","51.4","54.1","60.4","57.7","60.7","60",
"Men+Women","Blood donation house","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","74729","116001","100567","112689","122067","121759","119974","115151","126499","150014","161867","138658","151180","144792","142537","139241","135027","143123","138713",
"Men+Women","Blood donation house","Gwangju/Jeonnaam","Composition Rate[%]","%","42.9","58","56.5","57.9","60.5","61.4","62.2","62","61.5","68.9","73.1","68.6","68.6","70","69","76","72.9","75.5","73.4",
"Men+Women","Blood donation house","Gyeongnaam","Donation Count[Unit]","Unit","15272","20278","19112","33269","43583","51960","53269","54424","68936","74043","73607","67828","69721","72182","70878","81202","79802","80445","78185",
"Men+Women","Blood donation house","Gyeongnaam","Composition Rate[%]","%","15.2","19.8","20.8","32.6","38","43.5","46.6","45.2","51.2","51.7","54.2","53.1","53.4","53.6","53.3","61.9","64","65.3","60.6",
"Men+Women","Blood donation house","Jeju","Donation Count[Unit]","Unit","9002","8576","7528","14477","20403","23240","18956","17617","20446","21513","23470","18647","20532","17953","19709","25721","25098","24487","28640",
"Men+Women","Blood donation house","Jeju","Composition Rate[%]","%","28.4","28.8","27.3","44.5","55.3","60.4","55.4","55.3","59.6","57.5","57.7","52.1","54.3","52.4","54.8","61.7","59.7","58.7","60.8",
"Men+Women","Blood donation house","Outside of Korean Red Cross","Donation Count[Unit]","Unit","0","0","0","0","57245","99886","118924","128446","154265","164133","167572","176105","169854","166354","146618","150684","148553","163892","185925",
"Men+Women","Blood donation house","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","53","66.7","70.8","71.3","74.8","78.6","79.5","79.6","79.4","82.5","82.7","85.5","83.6","80.3","79.2",
"Men+Women","Blood donation bus","Total","Donation Count[Unit]","Unit","146017","135018","114239","83214","86743","43733","30018","31274","33164","19917","15404","9569","8985","7268","5532","12406","13428","13162","6276",
"Men+Women","Blood donation bus","Total","Composition Rate[%]","%","6.4","5.9","5.5","3.5","3.4","1.6","1.1","1.1","1.1",".7",".5",".3",".3",".3",".2",".5",".5",".5",".2",
"Men+Women","Blood donation bus","Korean Red Cross","Donation Count[Unit]","Unit","146017","135018","114239","83214","79610","37500","22093","24384","25195","16146","12774","5174","5091","4478","2402","3560","6437","6227","1112",
"Men+Women","Blood donation bus","Korean Red Cross","Composition Rate[%]","%","6.6","6","5.6","3.7","3.2","1.5",".9","1",".9",".6",".4",".2",".2",".2",".1",".1",".3",".3","0",
"Men+Women","Blood donation bus","Central Seoul","Donation Count[Unit]","Unit","16892","10754","7173","3586","1726","3970","","","","","","","","48","21","221","27","-","-",
"Men+Women","Blood donation bus","Central Seoul","Composition Rate[%]","%","8","4.8","3.8","1.7",".8","1.6","","","","","","","","-","0",".1","0","-","-",
"Men+Women","Blood donation bus","Western Seoul","Donation Count[Unit]","Unit","14178","16838","17641","15389","21572","4576","4265","3576","684","328","172","44","33","","","","","","",
"Men+Women","Blood donation bus","Western Seoul","Composition Rate[%]","%","10.6","12.1","11.4","9","11.2","5.1","1.6","1.3",".2",".1",".1","0","0","","","","","","",
"Men+Women","Blood donation bus","Southern Seoul","Donation Count[Unit]","Unit","18736","21597","14801","14366","9151","98","1271","98","8","0","0","2","0","-","0","-","526","217","27",
"Men+Women","Blood donation bus","Southern Seoul","Composition Rate[%]","%","10.4","11.4","8.6","7.7","4.4","0",".6","0","0","0","0","0","0","-","0","-",".3",".1","0",
"Men+Women","Blood donation bus","Eastern Seoul","Donation Count[Unit]","Unit","13337","12543","11813","7406","7475","3332","482","1891","679","318","184","329","91","493","29","1273","2674","1675","-",
"Men+Women","Blood donation bus","Eastern Seoul","Composition Rate[%]","%","6.8","6.3","6.5","3.7","3.5","1.3",".2",".7",".2",".1",".1",".1","0",".2","0",".5","1.2",".7","-",
"Men+Women","Blood donation bus","Busan","Donation Count[Unit]","Unit","12539","11983","6214","5666","4119","3802","2442","2072","2072","1792","891","369","31","48","0","36","22","-","-",
"Men+Women","Blood donation bus","Busan","Composition Rate[%]","%","5.9","5.6","3.3","2.7","1.9","1.6","1.1",".9",".9",".8",".4",".2","0","-","0","-","0","-","-",
"Men+Women","Blood donation bus","Daegu/Gyeongbook","Donation Count[Unit]","Unit","11177","6732","5024","4432","6900","5750","2805","2357","1300","116","54","122","5","-","0","-","514","-","-",
"Men+Women","Blood donation bus","Daegu/Gyeongbook","Composition Rate[%]","%","5.8","3.6","3.2","2.4","3.2","2.7","1.3","1",".5","0","0",".1","0","-","0","-",".2","-","-",
"Men+Women","Blood donation bus","Incheon","Donation Count[Unit]","Unit","12105","6091","4598","5618","6552","2667","439","741","2349","546","538","16","697","433","0","113","333","2949","21",
"Men+Women","Blood donation bus","Incheon","Composition Rate[%]","%","9.4","5","4.2","4.6","5","1.7",".3",".4","1.3",".3",".3","0",".4",".3","0",".1",".2","1.7","0",
"Men+Women","Blood donation bus","Ulsan","Donation Count[Unit]","Unit","6101","6894","5307","4150","3567","3301","2498","2509","3002","3331","642","-","0","-","0","-","-","-","-",
"Men+Women","Blood donation bus","Ulsan","Composition Rate[%]","%","7.7","8.4","8.1","5.8","4.8","4.4","3.4","3.2","3.7","3.7",".7","-","0","-","0","-","-","-","-",
"Men+Women","Blood donation bus","Gyeonggi","Donation Count[Unit]","Unit","14575","16901","13149","3864","1786","1499","775","2667","722","1230","1278","-","0","-","0","-","-","-","-",
"Men+Women","Blood donation bus","Gyeonggi","Composition Rate[%]","%","10.5","11.9","10.2","2.7","1.1",".9",".4","1.5",".4",".6",".6","-","0","-","0","-","-","-","-",
"Men+Women","Blood donation bus","Gangwon","Donation Count[Unit]","Unit","177","224","107","79","217","362","396","246","129","79","20","5","0","-","8","7","-","-","-",
"Men+Women","Blood donation bus","Gangwon","Composition Rate[%]","%",".2",".3",".2",".1",".3",".4",".4",".2",".1",".1","0","0","0","-","0","-","-","-","-",
"Men+Women","Blood donation bus","Chungbook","Donation Count[Unit]","Unit","266","356","3283","2263","194","0","0","0","0","0","0","-","0","-","0","-","55","1","-",
"Men+Women","Blood donation bus","Chungbook","Composition Rate[%]","%",".3",".5","4.5","2.7",".2","0","0","0","0","0","0","-","0","-","0","-",".1","0","-",
"Men+Women","Blood donation bus","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","11353","10616","7113","1613","82","10","0","21","0","1549","2152","-","0","-","0","-","15","-","-",
"Men+Women","Blood donation bus","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","7","7.2","4.9",".9","0","0","0","0","0",".7",".9","-","0","-","0","-","0","-","-",
"Men+Women","Blood donation bus","Jeonbook","Donation Count[Unit]","Unit","1180","115","5971","6237","6843","638","176","112","1673","1856","1953","1400","1152","932","910","1910","2228","1336","1064",
"Men+Women","Blood donation bus","Jeonbook","Composition Rate[%]","%","1",".1","6.1","5.8","5.6",".5",".1",".1","1.3","1.5","1.5","1.2","1",".9",".8","1.9","2.2","1.4","1.1",
"Men+Women","Blood donation bus","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","1025","1044","1258","527","880","350","255","1134","6319","87","193","8","2","-","0","-","43","49","-",
"Men+Women","Blood donation bus","Gwangju/Jeonnaam","Composition Rate[%]","%",".6",".5",".7",".3",".4",".2",".1",".6","3.1","0",".1","0","0","-","0","-","0","0","-",
"Men+Women","Blood donation bus","Gyeongnaam","Donation Count[Unit]","Unit","10243","11868","9908","7475","8362","6652","5485","6140","5512","4796","4697","2879","3080","2524","1434","-","-","-","-",
"Men+Women","Blood donation bus","Gyeongnaam","Composition Rate[%]","%","10.2","11.6","10.8","7.3","7.3","5.6","4.8","5.1","4.1","3.4","3.5","2.3","2.4","1.9","1.1","-","-","-","-",
"Men+Women","Blood donation bus","Jeju","Donation Count[Unit]","Unit","2133","462","879","543","184","493","804","820","746","118","0","-","0","-","0","-","-","-","-",
"Men+Women","Blood donation bus","Jeju","Composition Rate[%]","%","6.7","1.6","3.2","1.7",".5","1.3","2.3","2.6","2.2",".3","0","-","0","-","0","-","-","-","-",
"Men+Women","Blood donation bus","Outside of Korean Red Cross","Donation Count[Unit]","Unit","0","0","0","0","7133","6233","7925","6890","7969","3771","2630","4395","3894","2790","3130","8846","6991","6935","5164",
"Men+Women","Blood donation bus","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","6.6","4.2","4.7","3.8","3.9","1.8","1.2","2","1.8","1.4","1.8","5","3.9","3.4","2.2",
"Men","Total","Total","Donation Count[Unit]","Unit","1831613","1792035","1592264","1741184","1879517","1898213","1824531","1905688","2035857","2137369","2165411","2066926","2132241","2106912","2036566","1916444","1895131","1876184","2008892",
"Men","Total","Korean Red Cross","Donation Count[Unit]","Unit","1789525","1748273","1545856","1677786","1799095","1797670","1717257","1790590","1909293","2007168","2029746","1926108","1988861","1972773","1909232","1793118","1771956","1735122","1845259",
"Men","Total","Central Seoul","Donation Count[Unit]","Unit","169824","174504","137432","147238","147925","172472","","","","","","","","195481","182916","157832","155322","155262","165697",
"Men","Total","Western Seoul","Donation Count[Unit]","Unit","113857","114093","117615","127664","142694","65259","179077","191971","209828","234946","231660","210930","201838","","","","","","",
"Men","Total","Southern Seoul","Donation Count[Unit]","Unit","149974","151475","136271","143313","154754","161920","160365","166236","172180","170207","165554","169319","185180","173905","160320","144323","132869","132872","147219",
"Men","Total","Eastern Seoul","Donation Count[Unit]","Unit","158684","150842","127086","134427","141685","162081","171213","181050","198140","213068","206563","195744","201327","201187","186199","171190","167635","166638","180698",
"Men","Total","Busan","Donation Count[Unit]","Unit","163134","160286","147725","157411","160198","167419","150860","152398","156401","156994","158533","143066","151757","156593","149783","138067","135511","138212","142395",
"Men","Total","Daegu/Gyeongbook","Donation Count[Unit]","Unit","146703","139819","117241","132309","151628","146567","142391","152043","166006","178406","177684","168424","172578","176709","167290","139286","159155","158967","167443",
"Men","Total","Incheon","Donation Count[Unit]","Unit","90515","86833","79101","86693","89985","102831","115288","114453","117031","124396","121411","113269","115780","110801","112002","119383","119848","119983","127399",
"Men","Total","Ulsan","Donation Count[Unit]","Unit","61828","64903","52640","56031","57357","55041","54331","57870","60388","68146","70085","65717","65900","66006","68561","63660","63842","64183","73750",
"Men","Total","Gyeonggi","Donation Count[Unit]","Unit","117416","114908","102817","110129","122372","123615","126466","128317","140559","151967","159274","154592","159730","156393","158935","171193","168602","158940","169324",
"Men","Total","Gangwon","Donation Count[Unit]","Unit","75508","67686","55609","61668","64310","66394","72405","85987","95113","99831","116232","122194","127367","134733","127408","117333","110113","98394","106032",
"Men","Total","Chungbook","Donation Count[Unit]","Unit","60752","61782","58357","67104","78801","80021","71818","78316","74971","74594","73575","66760","71989","71508","70263","65938","63824","61230","63581",
"Men","Total","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","140630","116662","115479","132794","139646","149091","145124","152287","163562","170744","180633","171357","173478","178680","176499","171640","166881","165157","168393",
"Men","Total","Jeonbook","Donation Count[Unit]","Unit","95457","88799","75743","81835","91565","94416","90925","92343","95861","89849","94813","87682","87191","82490","81328","76352","76286","69236","72737",
"Men","Total","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","132050","144359","125849","131553","137614","130294","123318","121889","134077","139455","141809","133199","147667","141168","141682","127499","127598","124892","128962",
"Men","Total","Gyeongnaam","Donation Count[Unit]","Unit","88225","87567","75367","84418","93545","95546","91966","94915","103678","111425","106235","100136","101365","102900","101395","100405","95004","92168","99097",
"Men","Total","Jeju","Donation Count[Unit]","Unit","24968","23755","21524","23199","25016","24703","21710","20515","21498","23140","25685","23719","25714","24219","24651","29017","29466","28988","32532",
"Men","Total","Outside of Korean Red Cross","Donation Count[Unit]","Unit","42088","43762","46408","63398","80422","100543","107274","115098","126564","130201","135665","140818","143380","134139","127334","123326","123175","141062","163633",
"Men","Group Donation","Total","Donation Count[Unit]","Unit","1076221","920886","763386","814959","817128","770728","711028","754466","786001","782348","764193","773997","770644","722231","685224","551819","523484","488207","547820",
"Men","Group Donation","Total","Composition Rate[%]","%","58.8","51.4","47.9","46.8","43.5","40.6","39","39.6","38.6","36.6","35.3","37.4","36.1","34.3","33.6","28.8","27.6","26","27.3",
"Men","Group Donation","Korean Red Cross","Donation Count[Unit]","Unit","1076221","920886","763386","814959","787514","741284","683273","722877","755507","755175","737914","748026","743272","701149","666223","540166","508601","465126","516940",
"Men","Group Donation","Korean Red Cross","Composition Rate[%]","%","60.1","52.7","49.4","48.6","43.8","41.2","39.8","40.4","39.6","37.6","36.4","38.8","37.4","35.5","34.9","30.1","28.7","26.8","28",
"Men","Group Donation","Central Seoul","Donation Count[Unit]","Unit","102272","92031","59892","60448","54660","52773","","","","","","","","44242","43478","26713","26848","26911","31375",
"Men","Group Donation","Central Seoul","Composition Rate[%]","%","60.2","52.7","43.6","41.1","37","30.6","","","","","","","","22.6","23.8","16.9","17.3","17.3","18.9",
"Men","Group Donation","Western Seoul","Donation Count[Unit]","Unit","49825","43307","31232","34522","32493","12984","45541","55306","70740","79989","71958","63985","48975","","","","","","",
"Men","Group Donation","Western Seoul","Composition Rate[%]","%","43.8","38","26.6","27","22.8","19.9","25.4","28.8","33.7","34","31.1","30.3","24.3","","","","","","",
"Men","Group Donation","Southern Seoul","Donation Count[Unit]","Unit","77796","60151","53148","57281","56439","50901","49566","51128","54645","54238","51891","56661","67961","58125","51260","44550","35451","34702","40740",
"Men","Group Donation","Southern Seoul","Composition Rate[%]","%","51.9","39.7","39","40","36.5","31.4","30.9","30.8","31.7","31.9","31.3","33.5","36.7","33.4","32","30.9","26.7","26.1","27.7",
"Men","Group Donation","Eastern Seoul","Donation Count[Unit]","Unit","98942","79233","56404","58047","50913","51866","48244","54847","63057","64331","64534","67112","65626","59546","50529","46925","42865","36285","40748",
"Men","Group Donation","Eastern Seoul","Composition Rate[%]","%","62.4","52.5","44.4","43.2","35.9","32","28.2","30.3","31.8","30.2","31.2","34.3","32.6","29.6","27.1","27.4","25.6","21.8","22.6",
"Men","Group Donation","Busan","Donation Count[Unit]","Unit","79827","71936","65943","66934","62372","61301","54225","57300","52113","44552","46257","44824","46922","45449","40833","30467","30392","28004","32593",
