"Daily",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"08.08",23221,15600,27742,30312,44806,54205,16472,32031,36705,44021,35502,23221,37116,18188,16107,25344,15079,26221,29183
"08.09",21756,15116,27464,31401,46327,53570,15587,31269,35831,46646,35703,21756,37502,17447,15368,25505,13827,24497,27277
"08.10",20763,15087,26318,32093,46379,52947,14998,30111,38542,47552,34220,20763,37118,16867,17272,25496,12781,23364,25530
"08.11",20070,14165,27388,31131,45087,52257,15564,32724,39424,46451,33031,20070,37225,18343,18099,25164,12320,21865,25546
"08.12",19553,14422,27514,30114,44058,52587,14676,33421,38385,45113,31878,19553,39225,18321,17811,25768,11421,21427,28546
"08.13",21057,14190,26239,29137,44524,52843,16449,32416,37572,44156,31567,21057,40119,18058,17152,26250,11556,23638,29818
"08.14",20779,13977,24669,27574,42837,55085,17930,31391,37076,42712,28248,20779,40547,16904,16819,26669,13524,25123,29876
"08.15",20837,14985,25285,28480,44550,56220,18721,31953,38260,42596,30726,20837,40827,17889,17987,29268,14356,25307,31077
"08.16",19486,14801,24732,28311,45566,56101,17903,31375,37699,45326,31249,19486,39758,16329,17999,30536,13559,23803,30526
"08.17",18809,15240,23511,29090,45143,56049,16887,30041,40589,45830,29695,18809,38854,16025,20491,27948,12810,22053,30548
"08.18",18778,15946,23692,27659,44197,55745,16457,32102,41761,44327,27989,18778,38058,17924,21549,27892,11984,20248,31323
"08.19",18585,16361,23727,27115,43855,56619,15541,33393,40191,43368,26992,18585,39483,18522,20348,26716,12162,18990,33297
"08.20",19625,16690,22201,27182,43355,56232,17616,31140,39514,41884,25912,19625,39219,17606,18923,25650,12304,19999,34838
"08.21",20473,16238,21102,27222,43151,58642,19421,29349,38936,41013,25174,20473,38446,16952,17757,24341,13692,20863,33915
"08.22",19375,15048,19909,25260,44602,60253,17695,28408,38283,40034,27408,19375,37188,15970,17046,24801,15265,19368,33037
"08.23",18639,15210,19422,27791,46111,59438,17166,27988,37436,42297,27874,18639,35742,14757,16480,25172,14180,18387,32176
"08.24",18280,14537,18592,29422,45700,59180,16776,27006,40199,43003,26908,18280,34724,13639,18314,24380,12877,17514,31670
"08.25",17866,13467,19643,29234,44253,58542,16238,29377,41499,41608,26043,17866,33864,15937,19237,23747,11958,16464,31180
"08.26",17989,13165,19182,29162,43824,58473,15551,30722,40425,40989,26114,17989,35403,17103,18206,23001,11487,15960,34083
"08.27",18716,12856,17910,29688,43114,57971,17117,29434,40340,40463,26073,18716,36402,15931,17098,22133,11608,19161,35846
"08.28",19529,13271,17430,29997,42649,59939,18464,26142,41014,40492,26064,19529,35296,14814,16740,22136,13620,21429,34825
"08.29",20041,12712,16991,30095,44072,61237,16841,26238,40403,39570,29424,20041,34265,13974,16812,24617,15310,21198,33812
"08.30",18896,12548,17020,31315,45721,61404,16243,26021,41036,41967,30317,18896,33140,14257,17123,25726,14008,22262,34146
"08.31",17914,12482,16458,32336,45251,60777,15657,26269,43990,42975,29507,17914,32659,13497,19104,25221,12654,23339,34422
"09.01",17783,12042,15763,30760,44542,60509,14707,28490,44829,41785,28125,17783,31950,14477,19166,23634,12204,24157,34984
"09.02",18052,11282,15777,30452,44538,60265,14390,29513,43995,39798,27310,18052,33585,14138,17723,22119,11604,25084,37624
"09.03",18586,10956,15942,30934,44053,59796,15922,27551,43314,38782,26461,18586,33649,14205,16408,20950,12915,28454,38476
"09.04",18335,11260,15387,31773,43474,61294,17219,25782,43501,38671,26268,18335,32275,13956,16060,20294,15695,30199,36930
"09.05",17328,11615,15284,31672,43861,62402,15886,24708,42710,37697,27830,17328,30546,13766,15691,22973,16898,28061,35792
"09.06",16159,11228,14608,32696,44861,61451,14854,24020,42030,38698,28505,16159,28657,13513,16484,23495,16037,27394,34900
"09.07",15387,11499,13826,33365,43935,60626,14580,22877,44221,37444,27593,15387,27553,13565,16779,21254,12304,27482,33969
"09.08",15759,11618,13933,33549,42872,61074,14122,25709,44438,36238,26851,15759,26774,16786,17818,19402,12148,28487,33610
"09.09",16242,10999,13692,34305,41976,60778,13287,26241,43311,35066,26210,16242,27363,18321,17146,17993,12121,27529,35307
"09.10",18601,10812,13822,35021,41708,60151,14783,24800,42217,35698,25723,18601,27414,19636,16786,16452,12037,26372,36027
"09.11",19292,11321,13693,35248,40336,62065,13617,23475,41966,35185,25300,19292,25293,19598,16956,15739,13337,26715,34426
"09.12",19745,10829,13416,34166,41190,63001,11992,22831,40931,34306,27177,19745,23894,19728,15371,17879,14071,28508,33056
"09.13",19322,10731,13594,35256,42718,62386,11984,21565,40011,35994,28087,19322,22487,19594,13990,18800,14671,27667,32083
"09.14",17666,10997,13237,34108,40883,61906,12784,20839,42460,37004,27429,17666,21225,19791,14244,16893,13880,26929,30967
"09.15",15877,10860,11973,33741,39299,60874,12751,22589,43361,34999,26284,15877,21571,21693,15058,15635,13679,25935,30768
"09.16",14836,9654,11641,34290,38437,60721,12200,23703,41689,32199,25882,14836,22620,21681,14693,14468,13410,25630,33321
"09.17",14878,8831,12508,33490,38184,60062,14031,20871,40407,30744,25854,14878,23176,22408,13983,13875,14067,29020,34385
"09.18",15361,9523,12175,32432,37309,61226,15325,20207,39356,29891,24737,15361,22222,21475,13150,14040,15908,30417,32630
"09.19",15156,9302,12119,33071,38354,62248,13201,19608,37856,28682,27066,15156,20613,20377,12544,17026,16963,27966,31649
"09.20",13346,8549,11865,33195,38987,61094,12546,19538,37052,30192,28255,13346,20001,19668,12506,17802,15298,27270,30108
"09.21",12556,8794,12211,33783,36063,60398,11880,19425,38540,30897,27312,12556,19491,19119,13773,18298,13792,26253,29027
"09.22",12126,8672,11366,32856,34948,59007,12006,22055,39412,28987,26324,12126,19486,21167,14257,17819,13211,25232,29419
"09.23",11943,8298,10340,32657,33983,58549,11915,23287,37629,27989,25540,11943,20255,20831,13105,17325,13504,24584,31571
"09.24",12976,7931,8898,31829,33091,59024,13572,22307,35304,26338,25181,12976,21249,19196,12129,17342,15211,27009,32706
"09.25",12778,9436,8052,31710,31381,61019,15513,21828,33308,26460,24804,12778,21006,17992,11885,18263,17305,27962,31789
"09.26",12411,9410,8071,31075,33467,61614,14917,21935,31991,25263,24279,12411,20686,17452,11581,22182,18853,25971,31397
"09.27",11320,9206,11078,32396,34339,59567,15179,22443,30222,27872,23011,11320,20338,17178,12586,24233,18044,24390,32205
"09.28",10194,9211,11402,32991,33009,57641,14758,21141,30783,28350,22144,10194,19847,16410,14123,23540,16644,23323,31210
"09.29",11151,8255,9900,32351,31747,56626,14048,20780,31054,27436,22788,11151,21184,17247,15492,23339,15319,22007,29596
"09.30",13004,8378,10247,32696,31141,55767,14875,19795,28964,26843,23120,13004,23576,17201,13554,22292,14518,21460,29538
"10.01",16593,7457,10544,31934,30135,53808,16746,19238,26819,26017,21326,16593,23997,15523,12398,20854,13658,23027,30456
"10.02",16676,9299,11104,29717,29566,53475,18722,20843,24671,25024,20028,16676,22590,14090,12010,20531,14690,23924,29225
"10.03",17582,9694,9668,30351,28598,54003,20700,22556,25110,25384,21399,17582,20925,13454,12963,23523,14905,23181,29861
"10.04",19589,9730,9906,29440,29037,50562,19303,21751,22975,27960,21627,19589,19254,12495,12153,25307,13630,22119,28017
"10.05",19008,7095,9882,29741,29128,48286,18051,21185,24196,28817,19598,19008,17907,11812,13052,24183,12330,21555,27023
"10.06",18173,6244,8328,28371,28564,47007,16796,23034,24481,26535,17657,18173,17206,12036,13624,22808,11730,20424,26165
"10.07",18091,7083,8574,26721,27247,45472,16070,24054,22409,25235,15751,18091,18061,12572,11987,21118,11246,20913,27219
"10.08",18989,7394,10136,25701,26910,43656,16510,22244,19091,23473,14818,18989,18013,12087,12360,19373,11878,23660,27526
"10.09",19588,8400,9967,26314,26389,44842,17320,20163,19302,23960,14431,19588,18343,12617,12619,19600,13368,24810,26771
"10.10",19904,8245,9574,25651,29053,45574,15488,18863,17899,24133,14585,19904,16946,11804,12445,20326,13779,24575,24289
"10.11",18875,8020,10422,27360,29353,43551,13125,18663,16977,25707,15167,18875,15900,11071,13116,20480,12923,23141,22118
"10.12",18870,7582,10281,28275,28048,42970,12702,18364,19863,26519,14366,18870,15615,12279,14660,17601,13071,21847,20108
"10.13",19113,7334,10159,27565,25712,41721,12339,19972,20862,25285,12804,19113,16575,13780,15214,17600,13009,21024,20257
"10.14",19429,6068,9316,25704,24297,40239,11643,21176,19309,24228,12425,19429,17743,13884,14184,17060,13236,20057,21835
"10.15",21454,5809,10606,25109,23149,39913,13178,19544,18907,23703,13224,21454,17438,14037,13377,14862,14059,22093,22482
"10.16",21360,7443,10263,24923,23100,40668,13800,18039,18222,23264,14145,21360,18062,12352,12778,14583,15971,22952,20763
"10.17",22274,7465,10927,24785,23386,41786,12638,17448,18829,24232,15600,22274,16421,12614,12614,16925,17450,21252,20340
"10.18",21975,6938,10318,25757,23931,41174,11698,17607,19356,26388,16553,21975,15756,12740,13211,17191,16388,20155,20227
"10.19",21780,6905,10512,26655,21812,40533,11503,16519,22589,27031,16110,21780,16085,13443,15485,16080,15336,19051,20137
"10.20",21842,7542,9708,25850,20520,39204,11374,18156,23605,25357,15386,21842,17856,14701,17677,13674,14484,17907,21214
"10.21",22768,6493,10139,25798,19477,38835,10781,19041,22328,23676,16126,22768,18834,15432,17200,12529,13727,18014,22629
"10.22",24697,5968,11252,25024,18845,37910,10988,17423,21813,23383,16424,24697,19357,14620,16753,11555,14243,20315,23495
"10.23",25085,8345,11248,24535,18349,40394,11796,16688,21638,24199,16666,25085,18993,13764,16139,12227,15685,21335,22714
"10.24",25055,9226,11250,24563,19559,41250,10347,15483,21964,24773,19290,25055,18098,13063,16016,14845,16913,20852,22361
"10.25",24017,8762,11788,25687,20365,40724,10382,15368,22684,28266,21397,24017,17612,13175,16964,15260,15686,20560,22095
"10.26",23675,9611,11120,26637,19337,40319,10405,14772,26380,29276,22797,23675,17424,13394,18685,14221,15216,20690,22072
"10.27",22205,6797,10957,22538,16129,35636,8000,15709,27888,24378,18649,22205,14830,14060,18354,11144,12514,18447,20053
"10.28",22905,7382,10504,22772,16121,36233,9802,16775,27426,24691,19686,22905,17014,14601,17696,11785,12999,19953,21814
"10.29",25235,7101,12056,23058,15102,37137,11163,16272,27836,24429,19614,25235,17901,14774,17301,12644,14128,23093,23361
"10.30",26297,9105,11656,23183,13895,38811,11908,16415,28843,24856,20645,26297,18785,14375,16440,13084,15527,25224,23073
"10.31",26822,9295,12533,22655,13783,39990,11405,16031,29140,25489,23418,26822,18485,13684,16447,15297,16330,22433,22858
"11.01",26356,8819,12666,23017,14924,39568,11148,16491,27783,27379,24735,26356,17440,13250,15897,16506,15202,21679,21934
"11.02",26709,9331,12206,23321,14429,39985,10090,16178,30188,27922,24267,26709,16661,14518,17711,15681,14811,20885,21244
"11.03",25936,9484,11578,22317,14576,39699,10279,19338,30930,27297,23181,25936,17149,16692,18128,14696,14354,20953,20800
"11.04",26466,8806,11524,21607,13941,40392,10547,20391,29798,26085,22429,26466,18318,16988,17420,14160,13852,21139,22873
"11.05",27492,8616,11886,21031,14001,40258,12143,19011,28538,24855,21623,27492,18304,17708,15983,13825,14397,23130,24023
"11.06",27792,9444,11885,21259,14185,42490,13320,18501,29453,23907,20692,27792,17901,17057,14925,15230,15869,23502,22350
"11.07",26520,9615,11922,20586,15621,43422,12350,19256,30318,25325,21237,26520,16663,17085,14941,18201,17089,22976,21366
"11.08",25304,9523,11314,22336,16523,42687,12160,18163,31269,28032,21605,25304,15498,16915,14516,19940,16393,22565,20271
"11.09",24427,9468,11857,22810,16099,42293,13289,19182,33832,28544,21431,24427,15045,17951,16490,19329,15685,21844,19515
"11.10",23029,9314,12358,21658,15356,42544,13497,22119,34978,27567,19828,23029,14664,20109,16691,18386,15282,21184,19767
"11.11",22559,9330,11688,20642,16347,42250,14101,23203,34370,26422,20012,22559,16888,20321,15831,17382,14880,21166,22492
"11.12",24245,9327,12130,20324,17403,41276,15487,22377,34367,26662,20191,24245,16807,20773,14762,17025,15033,23350,23157
"11.13",24530,9355,11613,20441,18116,43242,16711,21883,34352,26915,20352,24530,16916,20462,15222,16993,16764,24285,22057
"11.14",22767,8406,11441,20872,20229,44315,17547,21011,33260,27928,21175,22767,15656,21823,15849,18730,17048,23049,20979
"11.15",21616,7746,10911,20801,20729,42395,17498,21644,33006,30778,21946,21616,15799,21623,16025,19335,15898,22016,19688
"11.16",22274,6895,11600,21082,22241,40659,18394,21865,35829,31390,20973,22274,15917,22338,18244,18283,14757,21230,18673
"11.17",21697,7523,10897,21309,23513,40510,18911,24438,37407,30640,19323,21697,15607,24035,18374,16642,14104,19706,18747
"11.18",21466,6416,11120,20401,25643,39534,19146,25693,37168,29996,18742,21466,17251,24793,17773,15187,13697,19785,20773
"11.19",22277,5901,11986,22364,27791,39858,21220,24987,37313,30310,19504,22277,17582,24752,17277,13445,14996,21962,21694
"11.20",24075,6995,11616,23036,30108,41886,23037,25098,37137,31432,19690,24075,17627,23800,17566,14245,16773,22847,20634
"11.21",24036,6746,11304,23680,32375,42863,23189,26320,38456,31608,21259,24036,16802,22533,18603,16408,17991,22460,19778
"11.22",22448,7166,11057,24817,32909,42030,22948,26719,38894,33443,22104,22448,16199,22298,19267,17059,17441,21804,19311
"11.23",21929,6630,12480,25342,35171,40066,22796,27576,41653,34005,22909,21929,15845,23207,20980,16860,17045,21212,18845
"11.24",22899,7450,12104,25939,35982,39912,22897,30178,42556,32623,21990,22899,17221,25480,21991,16080,16036,21097,19225
"11.25",23412,6296,11803,25896,36500,40341,23509,31011,42129,32705,22229,23412,18261,25703,22649,15063,16098,22442,21403
"11.26",24933,5868,13434,27242,38356,40787,24817,30767,42082,32127,21680,24933,18904,25609,22218,14063,17591,25053,22521
"11.27",24926,7452,13134,27161,38973,41192,26353,30771,42100,33334,22244,24926,20153,25234,22193,13388,20535,26648,22097
"11.28",26096,8188,14149,28098,40270,40959,26590,31309,42543,33372,23882,26096,20155,25834,22089,14845,21678,26099,21221
"11.29",26338,7920,13937,27789,41174,41116,26170,31734,41994,36095,25087,26338,19991,26563,22998,15232,21528,25099,21152
"11.30",26959,8745,14106,28713,42437,41138,25334,33718,44695,37204,24817,26959,20009,27822,25032,14433,20175,25349,20884
"12.01",26880,8735,13765,28600,41979,40439,24955,35531,45510,35923,23945,26880,20593,28909,24783,13964,19758,24911,21389
"12.02",26871,6961,13261,27778,42100,39670,23691,36136,43836,35013,21959,26871,21409,29114,23753,13302,19596,24640,23428
"12.03",28512,6847,13331,27456,41519,38220,24477,34015,42026,33225,19642,28512,21222,28285,22210,13131,19491,26428,24553
"12.04",28766,8689,12896,26007,40863,39018,25677,33024,39766,31387,17937,28766,20533,27322,21459,13262,20831,27487,23420
"12.05",27397,9300,12612,24062,41361,39638,23513,30926,38964,30185,19173,27397,19368,25860,20737,15086,21851,25830,22447
"12.06",25671,8558,11597,23328,41724,37773,21701,28203,36883,32356,19521,25671,18132,25571,20177,15678,21062,23838,21005
"12.07",24117,8300,11147,24187,40746,36038,19865,25739,39473,33254,18713,24117,17313,24742,21426,13946,20177,22406,20303
"12.08",23120,8321,11452,23693,39527,34282,17843,27149,39774,31446,17219,23120,17175,26311,22014,12312,19390,21434,20432
"12.09",22303,7884,11195,21251,37796,32124,16005,28011,36807,28669,16248,22303,17876,26250,20852,11332,18831,21563,22003
"12.10",23278,7483,11296,19992,36659,31654,17577,25709,34559,27039,14772,23278,18284,25044,19842,10270,19384,23347,23024
"12.11",23616,10089,10451,19121,35899,33530,18551,24033,32061,26261,15000,23616,17770,23678,18235,11064,21991,24441,21347
"12.12",23718,10460,11312,19069,36689,34392,16240,23146,31385,25492,15664,23718,16831,22121,17417,12707,23176,23441,20026
"12.13",22152,10567,12006,19088,37369,32816,15902,23170,31000,27494,15932,22152,16822,21628,18608,13451,23258,22218,19804
"12.14",21565,11257,11847,20039,37111,32841,15837,21990,33603,27863,15267,21565,18161,21298,19751,11968,22550,20894,20354
"12.15",21532,11403,10838,20806,35572,32640,15940,24903,34709,26708,14263,21532,18869,22389,20574,10477,22797,20103,21798
"12.16",22002,11055,10687,20751,34723,33926,15511,25626,33563,26758,13771,22002,20429,23030,20043,10292,22381,20397,24354
"12.17",23079,10493,12501,21629,36680,33839,17729,24803,33485,25408,14382,23079,20447,22216,19258,10110,23249,22679,25405
"12.18",23922,11742,13443,21664,36279,35584,19430,24703,32719,25682,14745,23922,20928,22052,19037,11216,25703,23670,25199
"12.19",23488,11535,10982,22680,36958,36388,19249,24494,32036,26477,15772,23488,21504,21084,18039,14300,27786,22686,23688
"12.20",22802,11425,12664,21634,37815,36668,19066,25084,32262,29305,16258,22802,20915,21248,19307,14785,27036,22209,23689
"12.21",22126,12697,13033,23239,37968,35689,18140,24769,34941,29867,16753,22126,21244,21220,20812,15117,26635,21395,23583
"12.22",21572,13907,12112,23560,39185,35976,19271,26879,36305,29235,15779,21572,22885,22919,21936,15565,26713,21427,24623
"12.23",21521,12995,11075,23475,39001,36833,19589,28221,35450,30123,15025,21521,25397,23515,22225,15875,26420,21768,26674
"12.24",23458,12489,13596,23891,39112,36527,22079,27931,35268,30075,15164,23458,25693,24358,22086,17357,27320,24857,28340
"12.25",23539,12252,11997,23947,38438,37265,22189,27827,35818,29328,14516,23539,25472,23427,21054,16606,27372,25064,27446
"12.26",23105,14777,12803,24049,40342,38727,21666,26624,34997,29604,16078,23105,26475,23139,21121,19698,29315,24922,27079
"12.27",22158,14308,12587,24481,40527,37347,21993,26494,35140,32753,16756,22158,27001,21502,21241,21281,29778,25208,25980
"12.28",22847,13868,12214,26008,40249,36778,21768,25096,37687,33668,16730,22847,27831,19749,23796,21506,30202,25888,25810
"12.29",23275,11740,11068,25071,39615,36078,19819,26969,39385,32668,16122,23275,25949,21995,25041,20930,30756,26418,25252
"12.30",22189,12798,10672,23111,37682,36077,18131,28205,36793,31655,15240,22189,28244,23353,25259,21233,31986,27000,27420
"12.31",23315,12180,10243,21084,34085,32697,19935,25835,36771,29778,14491,23315,29648,23026,23941,21097,31897,31060,29165
