"Daily",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"02.20",27967,20922,24113,27677,15780,37719,25237,27245,24717,18604,23863,12381,18600,15997,16205,17680,14287,15627,18691
"02.21",27917,20552,24769,26748,18336,38837,24378,26142,24185,17184,24625,12652,17231,14577,15530,17764,14719,14507,17520
"02.22",28104,20342,25397,26122,19364,37191,22838,24819,22327,19825,26124,13188,16128,15470,14632,18990,13454,13870,16467
"02.23",28576,20603,25198,27599,19272,35346,21748,23796,25310,21354,24359,12519,16400,16051,16272,18688,12723,13672,15699
"02.24",29054,20490,27513,27746,19227,33321,21579,22926,26548,19441,22946,12505,16689,18377,16997,17106,12104,13493,15621
"02.25",29441,21613,27827,27604,18732,31478,21013,26261,24165,18357,21508,11933,19009,20085,16169,15397,12040,13182,17627
"02.26",28219,21227,28277,26039,18407,28955,23260,27733,22755,17791,21473,12115,19123,20010,15064,14726,12746,14568,18474
"02.27",28996,20920,28629,25436,17905,31518,24952,26111,21412,17724,21011,13702,19520,19232,14669,14657,14942,15936,16898
"02.28",29076,21166,27368,25496,22158,32618,23320,25409,19712,17531,23411,13599,19369,18663,15105,13455,15848,16146,16134
"02.29",13949,-,-,24419,-,-,-,24681,-,-,-,13949,-,-,-,14227,-,-,-
"03.01",13364,20823,27870,26776,23662,32720,24624,26063,19783,19655,23910,13364,19255,19315,13488,14558,15328,17637,16327
"03.02",12655,20448,26839,27579,22772,31726,23410,23559,22415,21108,21654,12655,19281,20201,16573,13028,13571,17199,15148
"03.03",11570,19785,26194,25685,21947,30545,21248,26420,23211,19612,19630,11570,18614,22185,17225,12128,12960,16423,14935
"03.04",12988,19839,25946,24227,20591,29607,19643,27410,21492,18045,17908,12988,20299,22321,16114,11998,12079,15855,16736
"03.05",14691,19789,25070,23419,19521,27908,21715,25048,19178,17448,16486,14691,20951,22085,14913,11238,11969,17473,17789
"03.06",16243,19684,23383,22993,18280,29483,22655,23499,18117,16327,15255,16243,20058,20822,14004,13002,15097,18295,15705
"03.07",14946,19659,22104,21664,19277,30487,20728,21508,16740,15914,18490,14946,18820,19458,13695,15634,16083,16638,14661
"03.08",13345,19035,21843,22922,21015,28895,19239,19815,14894,19859,19170,13345,18622,18563,13628,16518,14565,16177,13895
"03.09",13466,18828,20293,23959,20051,27602,17869,17453,17778,20993,17357,13466,17933,18740,15783,16454,13149,17004,12785
"03.10",12375,18336,21413,23884,19373,25905,16760,19355,19323,21011,15689,12375,18693,21164,16414,16445,12421,16163,13454
"03.11",13314,18562,21604,22228,18531,25604,16079,20430,17767,20095,15053,13314,20092,22050,15219,16864,11861,15451,15684
"03.12",15765,18881,20806,21273,18208,23590,18882,18995,15871,19351,14214,15765,20377,21901,14159,15563,11391,16294,16289
"03.13",17903,19131,19698,20103,16442,26150,20790,18021,14222,18764,14505,17903,20688,20721,13298,17295,13862,16644,15146
"03.14",15906,18667,19000,18893,18504,27411,19301,17745,13694,17606,19013,15906,19475,20010,12915,19374,15349,14825,14917
"03.15",14536,18722,18629,19354,19995,26114,17646,18110,13590,21274,20279,14536,19218,19182,13793,19747,14409,13595,14759
"03.16",13755,18979,17677,20729,18874,24529,16692,17175,16960,22959,19735,13755,19284,18726,16051,20174,13484,13520,14453
"03.17",13302,19228,18048,21163,18676,22697,15884,19323,19004,21871,19370,13302,19764,20126,17402,20138,13154,12824,15056
"03.18",14210,19289,18115,20370,17999,22290,15582,20893,18411,20530,17640,14210,20857,20476,16485,20655,12726,12800,18121
"03.19",16300,19225,18021,20185,16173,21670,18424,19407,18323,20851,15880,16300,21929,20200,15341,20729,12558,14004,18497
"03.20",16872,19821,18008,20714,16085,23537,19889,19140,17672,20509,16243,16872,22328,19152,14233,21014,14640,15381,17813
"03.21",16466,20648,17274,20092,17871,25152,18927,17812,17678,20958,19411,16466,21483,18104,13635,22548,15689,14414,17180
"03.22",15772,21437,17050,21813,18833,23748,18446,16247,18028,23918,20550,15772,20969,17518,15061,22250,15072,13765,16439
"03.23",15845,22434,16608,22700,18349,22761,18058,15064,21710,25917,19088,15845,21164,18640,16558,22232,14089,13142,15770
